DroneID,Time,X,Z
Agent 0,0,-0.08559036,-2.098145
Agent 1,0,1.015033,-0.9788909
Agent 2,0,-3.490728,0.6150117
Agent 3,0,3.051758,-3.373343
Agent 4,0,-2.441827,2.211307
Agent 5,0,3.457832,-3.207404
Agent 6,0,-1.210323,1.97919
Agent 7,0,1.476455,-3.048838
Agent 0,0.5011665,-0.1003485,-2.283727
Agent 1,0.5011665,0.9963837,-1.161672
Agent 2,0.5011665,-3.492516,0.4005019
Agent 3,0.5011665,2.368958,-3.728828
Agent 4,0.5011665,-2.443853,1.99837
Agent 5,0.5011665,3.784281,-3.237232
Agent 6,0.5011665,-1.214409,1.772886
Agent 7,0.5011665,1.439405,-3.217036
Agent 0,1.002801,-0.1690359,-3.90808
Agent 1,1.002801,0.92698,-2.747942
Agent 2,1.002801,-3.548073,-1.438493
Agent 3,1.002801,0.5772085,-5.284981
Agent 4,1.002801,-2.502273,0.1674452
Agent 5,1.002801,3.3323,-4.849528
Agent 6,1.002801,-1.261049,-0.01058066
Agent 7,1.002801,1.263572,-4.675762
Agent 0,1.502971,-0.3579693,-6.513444
Agent 1,1.502971,0.757247,-5.303567
Agent 2,1.502971,-3.780703,-4.220084
Agent 3,1.502971,-1.346351,-7.322543
Agent 4,1.502971,-2.73455,-2.610332
Agent 5,1.502971,2.181959,-7.291159
Agent 6,1.502971,-1.453235,-2.752035
Agent 7,1.502971,0.9865694,-7.099445
Agent 0,2.001175,-0.5115652,-8.321693
Agent 1,2.001175,0.6217928,-7.075786
Agent 2,2.001175,-3.966204,-6.1409
Agent 3,2.001175,-2.582075,-8.620016
Agent 4,2.001175,-2.921605,-4.530948
Agent 5,2.001175,1.359814,-8.966782
Agent 6,2.001175,-1.609522,-4.64495
Agent 7,2.001175,0.780118,-8.801338
Agent 0,2.502881,-0.6705847,-9.679861
Agent 1,2.502881,0.4935284,-8.381735
Agent 2,2.502881,-4.130499,-7.54051
Agent 3,2.502881,-3.424097,-9.363726
Agent 4,2.502881,-3.092922,-5.924938
Agent 5,2.502881,0.7530155,-10.15503
Agent 6,2.502881,-1.76063,-6.032064
Agent 7,2.502881,0.6052294,-10.08662
Agent 0,3.001109,-1.245526,-12.0832
Agent 1,3.001109,0.09236145,-10.64045
Agent 2,3.001109,-4.611111,-9.922367
Agent 3,3.001109,-4.457595,-9.455811
Agent 4,3.001109,-3.569654,-8.306131
Agent 5,3.001109,-0.2679129,-11.86674
Agent 6,3.001109,-2.301953,-8.404135
Agent 7,3.001109,0.1735277,-12.30735
Agent 0,3.502774,-2.484966,-15.4189
Agent 1,3.502774,-0.837925,-14.01695
Agent 2,3.502774,-5.611214,-13.25125
Agent 3,3.502774,-6.289656,-8.682198
Agent 4,3.502774,-4.444605,-11.72617
Agent 5,3.502774,-1.864637,-14.59581
Agent 6,3.502774,-3.393126,-11.71995
Agent 7,3.502774,-0.8005629,-15.65075
Agent 0,4.002198,-3.780895,-18.42609
Agent 1,4.002198,-1.947002,-17.33502
Agent 2,4.002198,-6.628002,-16.20335
Agent 3,4.002198,-8.736209,-7.354925
Agent 4,4.002198,-5.367958,-14.8234
Agent 5,4.002198,-3.50056,-17.58808
Agent 6,4.002198,-4.464547,-14.72254
Agent 7,4.002198,-2.019929,-18.96128
Agent 0,4.502143,-5.150764,-21.3786
Agent 1,4.502143,-3.24394,-20.68537
Agent 2,4.502143,-7.681512,-19.08241
Agent 3,4.502143,-11.09823,-6.029842
Agent 4,4.502143,-6.412983,-17.89806
Agent 5,4.502143,-5.101755,-20.71651
Agent 6,4.502143,-5.579902,-17.76284
Agent 7,4.502143,-3.49128,-22.29988
Agent 0,5.000033,-7.09981,-25.15308
Agent 1,5.000033,-5.146408,-24.61821
Agent 2,5.000033,-9.171241,-22.86186
Agent 3,5.000033,-12.86368,-5.078543
Agent 4,5.000033,-7.942858,-21.75031
Agent 5,5.000033,-7.047396,-24.46272
Agent 6,5.000033,-7.116218,-21.65054
Agent 7,5.000033,-5.484783,-26.26904
Agent 0,5.502806,-9.239953,-29.0415
Agent 1,5.502806,-7.386266,-28.48484
Agent 2,5.502806,-10.90604,-26.72364
Agent 3,5.502806,-14.08802,-4.663009
Agent 4,5.502806,-9.659916,-25.60705
Agent 5,5.502806,-9.28516,-28.29394
Agent 6,5.502806,-8.828873,-25.51705
Agent 7,5.502806,-7.752499,-30.24541
Agent 0,6.000853,-11.18589,-32.43692
Agent 1,6.000853,-9.637999,-32.00194
Agent 2,6.000853,-12.5895,-30.16205
Agent 3,6.000853,-15.29464,-5.123195
Agent 4,6.000853,-11.34068,-29.11095
Agent 5,6.000853,-11.59989,-31.85268
Agent 6,6.000853,-10.50737,-29.01188
Agent 7,6.000853,-10.12253,-33.80371
Agent 0,6.50259,-13.27773,-35.78378
Agent 1,6.50259,-12.34086,-35.81591
Agent 2,6.50259,-14.68197,-34.00148
Agent 3,6.50259,-17.0803,-6.93181
Agent 4,6.50259,-13.44378,-33.16425
Agent 5,6.50259,-14.51248,-35.52506
Agent 6,6.50259,-12.78207,-32.98829
Agent 7,6.50259,-13.11156,-37.38643
Agent 0,7.001862,-15.33664,-38.77449
Agent 1,7.001862,-15.30057,-39.45931
Agent 2,7.001862,-17.03643,-37.71429
Agent 3,7.001862,-19.45716,-9.60523
Agent 4,7.001862,-15.79223,-37.17427
Agent 5,7.001862,-17.89994,-38.848
Agent 6,7.001862,-15.61908,-36.94601
Agent 7,7.001862,-16.66989,-40.60376
Agent 0,7.506948,-17.05593,-40.41456
Agent 1,7.506948,-17.60425,-41.90913
Agent 2,7.506948,-18.97441,-39.87012
Agent 3,7.506948,-22.09055,-12.4678
Agent 4,7.506948,-17.6863,-39.66258
Agent 5,7.506948,-20.68773,-41.19646
Agent 6,7.506948,-18.0007,-39.7204
Agent 7,7.506948,-20.05121,-42.98874
Agent 0,8.001558,-19.77831,-39.9892
Agent 1,8.001558,-19.82542,-42.40953
Agent 2,8.001558,-21.65263,-39.70216
Agent 3,8.001558,-25.13422,-15.72341
Agent 4,8.001558,-20.29816,-39.99126
Agent 5,8.001558,-22.6808,-42.0955
Agent 6,8.001558,-20.18262,-40.53612
Agent 7,8.001558,-22.98897,-44.6474
Agent 0,8.502755,-23.20733,-38.05805
Agent 1,8.502755,-22.84218,-40.76457
Agent 2,8.502755,-24.84642,-37.73098
Agent 3,8.502755,-28.3778,-19.38557
Agent 4,8.502755,-23.70582,-38.44991
Agent 5,8.502755,-24.81588,-40.75928
Agent 6,8.502755,-23.16142,-39.1067
Agent 7,8.502755,-25.6811,-45.84795
Agent 0,9.000398,-26.02334,-36.11968
Agent 1,9.000398,-25.90681,-38.41107
Agent 2,9.000398,-27.4671,-35.54935
Agent 3,9.000398,-31.32807,-23.07867
Agent 4,9.000398,-26.60658,-36.51258
Agent 5,9.000398,-27.30248,-37.97456
