y,x
-0.2618,0
-0.2618,0.001986504
-0.2618,0.004281044
-0.2618,0.006587267
-0.2336,0.008414388
-0.2336,0.01030171
-0.2336,0.01206756
-0.2336,0.01397574
-0.2336,0.0158329
-0.2336,0.01756048
-0.2336,0.01946902
-0.2336,0.02139556
-0.2336,0.02318513
-0.2336,0.02505958
-0.2336,0.02697563
-0.2336,0.02877712
-0.2336,0.03058779
-0.2336,0.03249526
-0.1776,0.03436911
-0.1776,0.0362817
-0.1776,0.03813612
-0.1776,0.03987932
-0.1776,0.041767
-0.1776,0.04359841
-0.1776,0.04536855
-0.1776,0.04731011
-0.1776,0.049173
-0.1776,0.05107069
-0.1776,0.05286956
-0.1776,0.05479586
-0.1776,0.05655885
-0.1504,0.05850816
-0.1504,0.06047964
-0.1504,0.06236708
-0.1504,0.06427753
-0.1504,0.06618071
-0.1504,0.06797528
-0.1504,0.06976295
-0.1504,0.07167387
-0.1504,0.07355738
-0.1504,0.0752579
-0.1504,0.0772016
-0.1504,0.07896554
-0.1504,0.08087313
-0.1504,0.08268428
-0.0954,0.08446789
-0.0954,0.0863806
-0.0954,0.08830702
-0.0954,0.09008646
-0.0954,0.09199524
-0.0954,0.09394491
-0.0954,0.09577262
-0.0954,0.09757102
-0.0954,0.09944987
-0.0954,0.1012948
-0.0954,0.103073
-0.0954,0.1048681
-0.0954,0.1067739
-0.0693,0.1086675
-0.0693,0.1104872
-0.0693,0.1123693
-0.0693,0.1141706
-0.0693,0.116043
-0.0693,0.1178839
-0.0693,0.1196723
-0.0693,0.121595
-0.0693,0.1233733
-0.0693,0.125181
-0.0693,0.1270754
-0.0693,0.1288728
-0.0693,0.1307714
-0.0693,0.1325879
-0.0717,0.1343713
-0.0717,0.136173
-0.0717,0.1380699
-0.0717,0.1398723
-0.0717,0.1418154
-0.0717,0.1437254
-0.0717,0.1454663
-0.0717,0.147368
-0.0717,0.1492107
-0.0717,0.1510715
-0.0717,0.1529804
-0.0717,0.1547914
-0.0717,0.1566958
-0.0459,0.1585674
-0.0459,0.1603781
-0.0459,0.1621712
-0.0459,0.1639721
-0.0459,0.1661574
-0.0459,0.1677812
-0.0459,0.1695749
-0.0459,0.1714755
-0.0459,0.1732714
-0.0459,0.1751817
-0.0459,0.1769865
-0.0459,0.1787696
-0.0459,0.1806728
-0.0459,0.1824963
-0.0486,0.1843799
-0.0486,0.1861644
-0.0486,0.1883881
-0.0486,0.1904129
-0.0486,0.1921823
-0.0486,0.1939635
-0.0486,0.1958797
-0.0486,0.1977106
-0.0486,0.1995965
-0.0486,0.2013757
-0.0486,0.2032846
-0.0486,0.2050831
-0.0486,0.2071248
-0.0231,0.2087741
-0.0231,0.2105829
-0.0231,0.2124736
-0.0231,0.2142764
-0.0231,0.2161338
-0.0231,0.2179816
-0.0231,0.2198695
-0.0231,0.2217942
-0.0231,0.2237272
-0.0231,0.2255756
-0.0231,0.2273709
-0.0231,0.2292736
-0.0231,0.2310808
-0.0261,0.2330263
-0.0261,0.2351857
-0.0261,0.237184
-0.0261,0.2389851
-0.0261,0.240875
-0.0261,0.2427961
-0.0261,0.24499
-0.0261,0.2468746
-0.0261,0.2487187
-0.0261,0.2504802
-0.0261,0.2523698
-0.0261,0.2543803
-0.0261,0.2564334
-0.0008,0.258181
-0.0008,0.2604816
-0.0008,0.2622746
-0.0008,0.2640635
-0.0008,0.2659569
-0.0008,0.267792
-0.0008,0.2696717
-0.0008,0.2714587
-0.0008,0.2738247
-0.0008,0.2753664
-0.0008,0.2772545
-0.0008,0.2791984
-0.0008,0.2809621
-0.0008,0.282873
-0.0041,0.2849754
-0.0041,0.2868649
-0.0041,0.2887706
-0.0041,0.2906939
-0.0041,0.2924694
-0.0041,0.2942705
-0.0041,0.2960759
-0.0041,0.2978593
-0.0041,0.2998818
-0.0041,0.3017108
-0.0041,0.3035674
-0.0041,0.3053795
-0.0041,0.3071848
0.0191,0.3090907
0.0191,0.3109789
0.0191,0.3127943
0.0191,0.3146805
0.0191,0.316494
0.0191,0.3182659
0.0191,0.3201667
0.0191,0.3219646
0.0191,0.3238925
0.0191,0.3256683
0.0191,0.3275801
0.0191,0.3293643
0.0191,0.3311658
0.0137,0.3330758
0.0137,0.3348858
0.0137,0.3367717
0.0137,0.3386716
0.0137,0.3405662
0.0137,0.3423649
0.0137,0.344172
0.0137,0.3459836
0.0137,0.3478218
0.0137,0.3496728
0.0137,0.351473
0.0137,0.3533691
0.0137,0.3552742
0.0137,0.3571374
0.0185,0.3642162
0.0185,0.3662648
0.0185,0.3679988
0.0185,0.3698823
0.0185,0.3716754
0.0185,0.3737226
0.0185,0.3753746
0.0185,0.3772868
0.0185,0.3794551
0.0185,0.3810817
-0.005,0.3830028
-0.005,0.3848771
-0.005,0.3867664
-0.005,0.3886833
-0.005,0.3905182
-0.005,0.3923777
-0.005,0.3941528
-0.005,0.3960731
-0.005,0.3978645
-0.005,0.3998334
-0.005,0.4016953
-0.005,0.4034683
-0.005,0.4054863
-0.005,0.4073218
0,0.409173
0,0.411085
0,0.4130071
0,0.4147795
0,0.4166615
0,0.4184756
0,0.4203715
0,0.4222735
