DroneReached,DroneLost,DroneDead,TimeReached,Collisions,Sigma
5,0,2,22.71082,19,12.00828
4,0,3,31.74582,66,8.975422
4,0,3,26.87396,43,13.87514
3,0,4,25.97041,32,14.49472
4,0,3,23.70888,32,14.69004
5,0,2,23.16667,28,13.86777
5,0,2,21.74327,34,14.23982
5,0,2,23.57955,69,12.85207
5,0,2,23.38273,48,12.76525
5,0,2,24.48973,89,13.53813
5,0,2,25.48884,23,11.17262
4,0,3,27.56766,37,10.55565
4,0,3,23.39194,45,12.62033
4,0,2,22.99126,41,14.32867
4,0,3,24.03161,31,13.77704
5,0,2,27.40346,30,12.14509
5,0,2,21.42496,46,14.60749
6,0,1,23.3743,24,11.83815
5,0,2,23.32941,31,14.57419
4,0,2,21.83446,75,14.37486
5,0,2,22.429,27,13.89016
5,0,2,24.90246,55,13.15007
5,0,2,24.2443,37,13.25411
4,0,3,21.54729,44,14.8161
4,0,3,23.65267,35,13.08371
5,0,2,23.54697,28,11.95388
5,0,2,24.6147,33,13.01387
5,0,2,23.34168,58,12.9897
5,0,2,23.43335,53,14.09261
5,0,2,22.98935,26,12.99596
6,0,1,23.11061,37,12.85972
5,0,2,25.26072,70,13.64499
4,0,2,25.96821,37,13.03095
5,0,2,26.74253,23,12.24361
5,0,2,23.34013,12,12.09703
4,0,3,23.38272,43,15.10968
5,0,2,23.43401,42,13.43873
4,0,3,21.91491,47,13.67311
5,0,2,23.17885,41,14.34237
5,0,2,27.46216,74,10.73071
4,0,3,26.70823,45,13.20942
4,0,3,31.14493,64,9.877742
5,0,2,22.63496,44,13.81973
4,0,3,27.83323,50,10.33917
4,0,3,24.27612,28,12.92261
5,0,2,22.06663,27,12.41557
4,0,3,26.43765,41,12.25339
5,0,2,26.94196,31,11.20393
5,0,2,24.1855,22,15.07253
4,0,3,23.38798,37,14.39218
5,0,2,27.44326,33,9.405152
5,0,2,22.2857,85,15.09886
4,0,3,21.19535,78,14.14215
4,0,2,24.57529,34,14.5108
5,0,2,22.3164,20,14.40908
5,0,2,24.62051,210,14.24748
3,0,4,24.52318,43,15.54371
6,0,1,24.27261,44,11.16891
5,0,2,23.70474,58,11.89823
4,0,3,25.66795,316,12.92882
3,0,4,32.30339,59,10.89026
5,0,2,22.07853,45,15.60008
4,0,3,22.54123,27,12.60634
3,0,4,23.7542,53,14.92991
6,0,1,23.12206,26,11.60827
5,0,2,21.10272,47,13.80062
4,0,2,21.63982,48,15.48836
6,0,1,23.64597,34,9.600607
4,0,3,25.411,42,12.48748
4,0,2,23.86679,247,13.45474
5,0,2,22.9089,61,12.86416
5,0,2,24.00658,47,14.16752
4,0,3,27.08124,107,12.47125
5,0,2,24.82401,23,14.65573
4,0,3,23.98302,39,16.12594
3,0,4,27.94852,60,14.17891
4,0,3,21.59901,63,14.70187
4,0,3,24.79074,49,14.16723
4,0,3,27.93934,72,12.89101
4,0,3,24.9187,23,12.92109
4,0,3,22.00723,69,16.4365
5,0,2,23.92839,30,12.84334
4,0,3,23.0929,27,15.56891
4,0,3,22.773,55,14.86257
4,0,3,22.91545,42,14.73621
5,0,2,23.6782,31,13.20784
5,0,2,25.27565,38,13.08009
4,0,3,23.91354,62,12.89479
4,0,3,23.41834,23,15.0444
4,0,3,26.29072,33,12.13024
4,0,3,25.04439,49,12.37937
5,0,2,24.67916,41,14.4484
4,0,3,23.0904,21,14.14982
5,0,2,21.14443,74,12.61612
4,0,3,23.45472,33,14.14737
4,0,3,27.38838,59,13.79903
5,0,2,24.55299,50,12.80749
5,0,2,22.71521,45,13.84656
4,0,3,24.07257,52,14.30143
5,0,2,23.44035,45,13.88971
5,0,2,24.67473,22,13.52445
5,0,2,24.3429,40,12.38421
4,0,3,23.62831,35,14.9138
5,0,2,24.18417,41,11.68104
4,0,2,24.89543,75,13.1712
4,0,3,28.28756,55,12.26578
4,0,3,24.20205,35,13.29902
5,0,2,27.17895,29,11.24698
4,0,3,27.43074,78,11.29765
4,0,3,30.80671,30,9.050982
5,0,2,22.20968,31,14.15653
5,0,2,21.54734,45,14.82651
3,0,4,26.90136,26,13.54576
4,0,3,24.08365,51,15.349
5,0,2,28.3919,28,11.79326
5,0,2,21.00769,54,15.54559
5,0,2,22.62438,45,15.11394
4,0,3,24.5226,42,14.04193
5,0,2,23.04482,44,14.97107
4,0,3,25.37939,79,13.32892
5,0,2,24.28956,45,15.35886
4,0,3,25.56057,41,14.33554
4,0,3,25.11034,60,15.01891
4,0,3,24.27062,25,14.21763
4,0,3,23.40039,28,15.87354
5,0,2,23.99392,121,11.24772
4,0,3,22.53553,37,13.22376
4,0,3,26.63855,21,12.29279
5,0,2,23.21269,49,13.0774
5,0,2,23.79406,29,13.39001
5,0,2,26.60988,47,11.00628
4,0,3,24.9208,35,13.74633
4,0,2,25.06869,42,12.1647
5,0,2,23.63871,41,14.70289
4,0,3,20.3742,57,14.38904
5,0,2,23.3546,106,12.40429
5,0,2,27.65894,79,11.56145
5,0,2,23.61724,27,13.34963
5,0,2,24.119,58,14.62488
4,0,3,24.91205,44,13.89977
6,0,2,22.28451,75,11.8397
4,0,3,25.82709,58,14.53601
4,0,3,23.22498,25,13.73192
4,0,3,24.94435,52,13.09562
4,0,3,22.94368,39,14.47723
4,0,2,23.33382,88,14.45289
3,0,4,31.4795,43,11.40467
3,0,4,28.68867,26,12.03636
4,0,3,25.47169,91,13.29115
5,0,2,24.49682,45,13.41877
5,0,2,23.45362,46,14.39512
5,0,2,25.8972,40,13.31179
5,0,2,23.2461,19,12.90456
4,0,3,26.01547,184,13.27296
5,0,2,21.62712,57,13.99906
5,0,2,24.16157,23,11.44594
5,0,2,24.60461,27,13.19546
4,0,3,27.08075,63,12.63979
4,0,3,26.27405,50,13.97556
5,0,2,22.87228,64,12.89664
5,0,2,22.87124,37,12.42865
5,0,2,25.50769,51,12.53305
5,0,2,23.32194,25,14.02094
4,0,3,23.93462,29,13.69017
5,0,2,23.26768,33,14.6082
3,0,4,25.1549,59,14.5538
4,0,3,24.74183,46,12.81076
5,0,2,23.69463,41,12.29274
4,0,3,26.80455,44,11.98625
5,0,2,23.36213,49,14.74692
5,0,2,22.68287,446,13.34905
5,0,1,25.31061,28,9.013193
5,0,2,22.12144,18,14.23067
4,0,2,23.21038,61,13.4233
4,0,3,23.71059,50,13.83491
5,0,2,22.98669,43,13.13025
5,0,2,24.0616,41,14.04557
5,0,2,22.68118,91,12.6423
5,0,2,22.97659,35,13.35848
