y,x
-0.2407,0
-0.2407,0.002335668
-0.2407,0.004376888
-0.2407,0.006370902
-0.2407,0.008168697
-0.2407,0.01009297
-0.2407,0.0118655
-0.2407,0.01384783
-0.2407,0.01558292
-0.2407,0.01757705
-0.1916,0.01926112
-0.1916,0.02130592
-0.1916,0.02307904
-0.1916,0.0248847
-0.1916,0.02671611
-0.1916,0.02847898
-0.1916,0.03027308
-0.1916,0.03215504
-0.1916,0.0338707
-0.1916,0.03568113
-0.1916,0.03747594
-0.1916,0.03927267
-0.1916,0.04106581
-0.1916,0.0429213
-0.1277,0.04467785
-0.1277,0.04677892
-0.1277,0.04837525
-0.1277,0.05018222
-0.1277,0.05201626
-0.1277,0.05388463
-0.1277,0.05579567
-0.1277,0.05768323
-0.1277,0.05950606
-0.1277,0.06127977
-0.1277,0.06317973
-0.1277,0.06499529
-0.1277,0.06678092
-0.0542,0.06861055
-0.0542,0.07046914
-0.0542,0.07207775
-0.0542,0.07388031
-0.0542,0.07574344
-0.0542,0.07755351
-0.0542,0.0794636
-0.0542,0.08125758
-0.0542,0.08317924
-0.0542,0.08496571
-0.0542,0.08678722
-0.0542,0.08876944
-0.0542,0.09057391
-0.0542,0.09246945
0.0227,0.0942632
0.0227,0.09625781
0.0227,0.09788632
0.0227,0.099774
0.0227,0.1015759
0.0227,0.1033729
0.0227,0.1056678
0.0227,0.107563
0.0227,0.1093284
0.0227,0.111174
0.0227,0.1129714
0.0227,0.114876
0.0227,0.1172591
0.0968,0.1192094
0.0968,0.1212049
0.0968,0.122969
0.0968,0.1248746
0.0968,0.1267068
0.0968,0.1284689
0.0968,0.1304717
0.0968,0.1328542
0.0968,0.1345631
0.0968,0.1363723
0.0968,0.1381634
0.0968,0.140067
0.0968,0.1420882
0.1622,0.1436821
0.1622,0.1456796
0.1622,0.1473755
0.1622,0.1491684
0.1622,0.1511887
0.1622,0.1529702
0.1622,0.1554921
0.1622,0.1573805
0.1622,0.1591853
0.1622,0.1609621
0.1622,0.1628697
0.1622,0.1651341
0.1622,0.1671492
0.2136,0.1687701
0.2136,0.1708406
0.2136,0.1729743
0.2136,0.1747642
0.2136,0.1765945
0.2136,0.1784965
0.2136,0.1803796
0.2136,0.1821786
0.2136,0.1841691
0.2136,0.1859711
0.2136,0.1877706
0.2472,0.1965907
0.2472,0.2016016
0.2472,0.2030916
0.2472,0.2055097
0.2472,0.2072845
0.2472,0.2091737
0.2472,0.2110726
0.2472,0.2128718
0.2472,0.2147737
0.2472,0.2168064
0.2603,0.2194229
0.2603,0.2224771
0.2603,0.2246764
0.2603,0.2270888
0.2603,0.2294774
0.2603,0.2318649
0.2603,0.2339593
0.2603,0.235754
0.2603,0.2377452
0.2603,0.239579
0.2603,0.2413783
0.2523,0.2431654
0.2523,0.2450684
0.2523,0.2467734
0.2523,0.2486085
0.2523,0.2504336
0.2523,0.2521777
0.2523,0.2539721
0.2523,0.2559643
0.2523,0.2579824
0.2523,0.2599483
0.2523,0.261762
0.2523,0.2636757
0.2523,0.2655827
0.2523,0.2675815
0.224,0.2693772
0.224,0.2714078
0.224,0.272958
0.224,0.2748792
0.224,0.2766945
0.224,0.2784567
