y,x
-0.2336,0
-0.2336,0.003676534
-0.2336,0.00547874
-0.2336,0.007264256
-0.2336,0.009456992
-0.2336,0.01086593
-0.2336,0.01265514
-0.2336,0.0146656
-0.2336,0.01652741
-0.2336,0.01835406
-0.2336,0.02025771
-0.2336,0.02208185
-0.1776,0.02388906
-0.1776,0.02596271
-0.1776,0.02756178
-0.1776,0.02935421
-0.1776,0.03175366
-0.1776,0.03387427
-0.1776,0.03565955
-0.1776,0.03735006
-0.1776,0.03925037
-0.1776,0.04105687
-0.1776,0.04284668
-0.1776,0.0447818
-0.1776,0.04654706
-0.1776,0.04844785
-0.141,0.05024683
-0.141,0.0523622
-0.141,0.05394709
-0.141,0.05576706
-0.141,0.06117857
-0.141,0.06297219
-0.141,0.06474984
-0.141,0.06673121
-0.141,0.06856596
-0.141,0.07035387
-0.141,0.07226264
-0.107,0.07426226
-0.107,0.07635283
-0.107,0.0779376
-0.107,0.07976842
-0.107,0.0815208
-0.107,0.08335793
-0.107,0.08516252
-0.107,0.0870595
-0.107,0.08887661
-0.107,0.09073949
-0.107,0.09255576
-0.107,0.09458363
-0.107,0.09615612
-0.107,0.09805274
-0.0852,0.09997737
-0.0852,0.1019595
-0.0852,0.1037683
-0.0852,0.1059679
-0.0852,0.1076846
-0.0852,0.109454
-0.0852,0.1112812
-0.0852,0.1131681
-0.0852,0.1150334
-0.0852,0.117053
-0.0852,0.1190395
-0.0852,0.1208798
-0.0852,0.1227885
-0.0645,0.1245905
-0.0645,0.1265571
-0.0645,0.1282693
-0.0645,0.1300626
-0.0645,0.1322731
-0.0645,0.1340832
-0.0645,0.135955
-0.0645,0.1377772
-0.0645,0.1396629
-0.0645,0.1414564
-0.0645,0.1432705
-0.0645,0.1451746
-0.0645,0.1470664
-0.0514,0.1488947
-0.0514,0.150955
-0.0514,0.1526575
-0.0514,0.1544621
-0.0514,0.1562823
-0.0514,0.1581458
-0.0514,0.1599736
-0.0514,0.1617541
-0.0514,0.1635475
-0.0514,0.1658984
-0.0514,0.1678123
-0.0514,0.1696618
-0.0514,0.1714566
-0.0514,0.1733614
-0.0389,0.1751622
-0.0389,0.1771475
-0.0389,0.1790375
-0.0389,0.180967
-0.0389,0.1829695
-0.0389,0.184763
-0.0389,0.1866657
-0.0389,0.188457
-0.0389,0.1903177
-0.0389,0.192154
-0.0389,0.1939533
-0.0389,0.1957382
-0.0389,0.1975601
-0.0311,0.1994166
-0.0311,0.2014848
-0.0311,0.2033004
-0.0311,0.2050562
-0.0311,0.2069845
-0.0311,0.2087502
-0.0311,0.2105536
-0.0311,0.2123762
-0.0311,0.2141522
-0.0311,0.2160203
-0.0311,0.2177577
-0.0311,0.2196726
-0.0311,0.221469
-0.0234,0.2235318
-0.0234,0.2255822
-0.0234,0.2272562
-0.0234,0.229265
-0.0234,0.2312419
-0.0234,0.2333688
-0.0234,0.2351686
-0.0234,0.2370598
-0.0234,0.2388641
-0.0234,0.2407516
-0.0234,0.2425492
-0.0234,0.2443478
-0.0234,0.2461712
-0.0234,0.2480601
-0.0188,0.249908
-0.0188,0.251958
-0.0188,0.2536647
-0.0188,0.2554559
-0.0188,0.2572826
-0.0188,0.2590587
-0.0188,0.2608515
-0.0188,0.2626572
-0.0188,0.2646503
-0.0188,0.2666571
-0.0188,0.2686734
-0.0188,0.2705554
-0.0188,0.2723564
-0.0141,0.2741897
-0.0141,0.276264
-0.0141,0.2779481
-0.0141,0.2799472
-0.0141,0.2816769
-0.0141,0.283618
-0.0141,0.2853583
-0.0141,0.2871528
-0.0141,0.2889464
-0.0141,0.2907693
-0.0141,0.2924503
-0.0141,0.2943511
-0.0141,0.2961551
-0.0141,0.2980608
-0.0113,0.2999665
-0.0113,0.3019634
-0.0113,0.3037775
-0.0113,0.3055645
-0.0113,0.3073921
-0.0113,0.3091496
-0.0113,0.3110682
-0.0113,0.3128673
-0.0113,0.3147559
-0.0113,0.3165629
-0.0113,0.31836
-0.0113,0.3201621
-0.0113,0.3219566
-0.0085,0.32389
-0.0085,0.325753
-0.0085,0.3274636
-0.0085,0.3292753
-0.0085,0.3309665
-0.0085,0.3328035
-0.0085,0.3345718
-0.0085,0.336473
-0.0085,0.3383636
-0.0085,0.3401774
-0.0085,0.3419561
-0.0085,0.3437554
-0.0085,0.3455741
-0.0085,0.3473653
-0.0068,0.3491526
-0.0068,0.3512664
-0.0068,0.3529646
-0.0068,0.3548789
-0.0068,0.3567692
-0.0068,0.3585639
-0.0068,0.3604683
