y,x
-0.2618,0
-0.2618,0.005589962
-0.2618,0.007773995
-0.2618,0.009849429
-0.2618,0.01169443
-0.2618,0.01345861
-0.2336,0.01536345
-0.2336,0.01737607
-0.2336,0.01926494
-0.2336,0.02118123
-0.2336,0.02303362
-0.2336,0.02486312
-0.2336,0.02731657
-0.2336,0.02937496
-0.2336,0.03155994
-0.2336,0.03339112
-0.2336,0.03526855
-0.2336,0.03706586
-0.2336,0.03906357
-0.1776,0.04087496
-0.1776,0.0427773
-0.1776,0.0450232
-0.1776,0.04686868
-0.1776,0.04875946
-0.1776,0.05066419
-0.1776,0.05256999
-0.1776,0.05446482
-0.1776,0.05642331
-0.1776,0.05827379
-0.1776,0.0605135
-0.1776,0.06235421
-0.1776,0.06466031
-0.141,0.06648958
-0.141,0.0684675
-0.141,0.07026184
-0.141,0.07217729
-0.141,0.0739572
-0.141,0.0758779
-0.141,0.07778335
-0.141,0.07967949
-0.141,0.08165658
-0.141,0.08357334
-0.141,0.08548272
-0.141,0.08739352
-0.141,0.08930874
-0.107,0.09106457
-0.107,0.09307814
-0.107,0.09489369
-0.107,0.09676206
-0.107,0.09877253
-0.107,0.1007035
-0.107,0.1024922
-0.107,0.1043863
-0.107,0.106288
-0.107,0.1081907
-0.107,0.1101067
-0.107,0.1119851
-0.107,0.1138694
-0.0852,0.1158841
-0.0852,0.1177709
-0.0852,0.1196568
-0.0852,0.1215808
-0.0852,0.1234586
-0.0852,0.1252519
-0.0852,0.1273971
-0.0852,0.1295965
-0.0852,0.1316967
-0.0852,0.1335937
-0.0852,0.1355627
-0.0852,0.1374801
-0.0852,0.1393783
-0.0645,0.1412662
-0.0645,0.1434021
-0.0645,0.1453742
-0.0645,0.1472613
-0.0645,0.1492913
-0.0645,0.1511759
-0.0645,0.1529766
-0.0645,0.1548734
-0.0645,0.1568925
-0.0645,0.1588787
-0.0645,0.1607724
-0.0645,0.1625713
-0.0645,0.1644653
-0.0514,0.16638
-0.0514,0.1684293
-0.0514,0.1700619
-0.0514,0.1719607
-0.0514,0.173921
-0.0514,0.1757672
-0.0514,0.1775763
-0.0514,0.1794919
-0.0514,0.181363
-0.0514,0.1832941
-0.0514,0.1851438
-0.0514,0.1869665
-0.0514,0.1888709
-0.0389,0.190696
-0.0389,0.1925719
-0.0389,0.1944193
-0.0389,0.1962878
-0.0389,0.1981595
-0.0389,0.2000611
-0.0389,0.2020979
-0.0389,0.2038602
-0.0389,0.205761
-0.0389,0.2076916
-0.0389,0.2098644
-0.0389,0.2118543
-0.0389,0.213691
-0.0311,0.21567
-0.0311,0.2174731
-0.0311,0.2193313
-0.0311,0.2211704
-0.0311,0.2230562
-0.0311,0.2250059
-0.0311,0.2267891
-0.0311,0.228671
-0.0311,0.2305877
-0.0311,0.2324777
-0.0311,0.234264
-0.0311,0.23623
-0.0311,0.238071
-0.0311,0.2399778
-0.0234,0.2417854
-0.0234,0.243802
-0.0234,0.2456794
-0.0234,0.2478802
-0.0234,0.2497743
-0.0234,0.2517018
-0.0234,0.2533724
-0.0234,0.2552675
-0.0234,0.2571614
-0.0234,0.2590861
-0.0234,0.2613078
-0.0234,0.2630574
-0.0234,0.2649857
-0.0188,0.2668837
-0.0188,0.2687123
-0.0188,0.2705809
-0.0188,0.2727537
-0.0188,0.2744626
-0.0188,0.2765676
-0.0188,0.2783639
-0.0188,0.2802715
-0.0188,0.2822828
-0.0188,0.28417
-0.0188,0.2860612
-0.0188,0.2878679
-0.0188,0.2897726
-0.0141,0.2916783
-0.0141,0.2936298
-0.0141,0.2953646
-0.0141,0.2973607
-0.0141,0.2992636
-0.0141,0.3012025
-0.0141,0.3029943
-0.0141,0.3049145
-0.0141,0.30679
-0.0141,0.3085651
-0.0141,0.3104519
-0.0141,0.3123825
-0.0141,0.3141719
-0.0113,0.3165138
-0.0113,0.3184013
-0.0113,0.3201622
-0.0113,0.3219433
-0.0113,0.3240099
-0.0113,0.3258628
-0.0113,0.3277946
-0.0113,0.3296697
-0.0113,0.3315626
-0.0113,0.3334707
-0.0113,0.3357711
-0.0113,0.3377619
-0.0113,0.3395958
-0.0085,0.341493
-0.0085,0.3433716
-0.0085,0.3451641
-0.0085,0.3470788
-0.0085,0.3489679
-0.0085,0.350903
-0.0085,0.3527696
-0.0085,0.3547633
-0.0085,0.3565644
-0.0085,0.3584645
-0.0085,0.3605074
-0.0085,0.3623782
-0.0085,0.3642703
-0.0068,0.3661695
-0.0068,0.3684933
-0.0068,0.3699689
-0.0068,0.3721685
-0.0068,0.3739787
-0.0068,0.3758882
-0.0068,0.3776469
-0.0068,0.3794537
-0.0068,0.3812597
-0.0068,0.3831544
-0.0068,0.3851095
-0.0051,0.3927039
-0.0051,0.3948107
-0.0051,0.3968809
-0.0051,0.3988627
-0.0051,0.4009569
-0.0051,0.4026202
-0.0051,0.4044583
-0.0051,0.4062612
-0.0051,0.408304
-0.0051,0.4102048
-0.0051,0.4119813
-0.0051,0.413757
-0.0041,0.4157687
-0.0041,0.4176723
-0.0041,0.4195427
-0.0041,0.4214586
-0.0041,0.4234816
-0.0041,0.4253656
-0.0041,0.4272639
-0.0041,0.4291686
-0.0041,0.4310864
-0.0041,0.4329606
-0.0041,0.4351352
-0.0041,0.4367801
-0.0041,0.4385737
-0.0031,0.4404613
-0.0031,0.4423782
-0.0031,0.4443549
-0.0031,0.446293
-0.0031,0.4481586
-0.0031,0.4500715
-0.0031,0.4519023
-0.0031,0.4537884
-0.0031,0.4556557
-0.0031,0.4575812
-0.0031,0.4593669
-0.0031,0.4613386
-0.0031,0.4631547
-0.0025,0.4650866
-0.0025,0.4669672
-0.0025,0.4688317
-0.0025,0.4706889
-0.0025,0.4724606
-0.0025,0.4744176
-0.0025,0.4763933
-0.0025,0.478227
-0.0025,0.4800535
-0.0025,0.4825803
-0.0025,0.4846643
-0.0025,0.4865505
-0.0025,0.4883655
-0.0019,0.490383
-0.0019,0.4922966
-0.0019,0.4990121
-0.0019,0.5002688
-0.0019,0.5024232
-0.0019,0.5042986
-0.0019,0.5061685
-0.0019,0.5080696
-0.0019,0.5100609
-0.0019,0.5118734
-0.0019,0.5137821
-0.0015,0.5157732
-0.0015,0.5176693
-0.0015,0.5195101
-0.0015,0.5213796
-0.0015,0.5233816
-0.0015,0.5252658
-0.0015,0.5272318
-0.0015,0.5290631
-0.0015,0.5311619
-0.0015,0.5330852
-0.0015,0.5350457
-0.0015,0.5368749
-0.0015,0.5387582
-0.0011,0.5406748
-0.0011,0.5425667
-0.0011,0.5445052
-0.0011,0.5463878
-0.0011,0.5482899
-0.0011,0.5503014
-0.0011,0.5519944
-0.0011,0.553893
-0.0011,0.5557882
-0.0011,0.5576783
-0.0011,0.5598623
-0.0011,0.5616614
-0.0011,0.5646948
-0.0009,0.5665122
-0.0009,0.5683755
-0.0009,0.5701584
-0.0009,0.5720726
-0.0009,0.5738846
-0.0009,0.5756646
-0.0009,0.5796169
-0.0009,0.5808676
-0.0009,0.5826775
-0.0009,0.5844895
-0.0009,0.5867652
-0.0009,0.5885597
-0.0007,0.5905036
-0.0007,0.5923687
-0.0007,0.5942069
-0.0007,0.5960895
-0.0007,0.5980026
-0.0007,0.5998739
-0.0007,0.6017131
-0.0007,0.6035656
-0.0007,0.6057895
-0.0007,0.607668
-0.0007,0.609655
-0.0007,0.6116308
-0.0007,0.6135944
-0.0006,0.6155864
-0.0006,0.617457
-0.0006,0.6193649
-0.0006,0.6211478
-0.0006,0.6230835
-0.0006,0.6249272
-0.0006,0.6272103
-0.0006,0.6290749
-0.0006,0.6311601
-0.0006,0.6330878
-0.0006,0.6350561
-0.0006,0.6368788
-0.0006,0.6387662
-0.0004,0.6406931
-0.0004,0.6425694
-0.0004,0.6444937
-0.0004,0.6464051
-0.0004,0.6486779
-0.0004,0.6504799
-0.0004,0.6522595
-0.0004,0.6541773
-0.0004,0.6559626
-0.0004,0.6579891
-0.0004,0.6601239
-0.0004,0.663457
-0.0004,0.6646689
-0.0003,0.6665703
-0.0003,0.6684765
-0.0003,0.6702574
-0.0003,0.6721634
-0.0003,0.6740876
-0.0003,0.6758534
-0.0003,0.6777912
-0.0003,0.6796855
-0.0003,0.6815559
-0.0003,0.6834863
-0.0003,0.6853188
-0.0003,0.6871685
-0.0003,0.6894876
-0.0002,0.6912853
-0.0002,0.6934689
-0.0002,0.6950876
-0.0002,0.6969711
-0.0002,0.6988596
-0.0002,0.7007993
-0.0002,0.7026411
-0.0002,0.7044629
-0.0002,0.7064737
-0.0002,0.7083658
-0.0002,0.7103821
-0.0002,0.7122658
-0.0002,0.7146858
-0.0002,0.7165798
-0.0002,0.7185231
-0.0002,0.7203704
-0.0002,0.7221733
-0.0002,0.7240578
-0.0002,0.7259909
-0.0002,0.7278601
-0.0002,0.7296597
-0.0002,0.7316669
-0.0002,0.7335712
-0.0002,0.735516
-0.0002,0.7373961
-0.0002,0.7392892
-0.0001,0.7411891
-0.0001,0.7430562
-0.0001,0.7450126
-0.0001,0.7492934
-0.0001,0.7505752
-0.0001,0.752781
-0.0001,0.7545744
-0.0001,0.7563695
-0.0001,0.7582649
-0.0001,0.7603217
-0.0001,0.7621828
-0.0001,0.7640861
-0.0001,0.7658592
-0.0001,0.7677687
-0.0001,0.7696155
-0.0001,0.7714971
-0.0001,0.7733725
-0.0001,0.7752155
-0.0001,0.7774185
-0.0001,0.779277
-0.0001,0.7811679
-0.0001,0.783115
-0.0001,0.7850395
-0.0001,0.786872
