y,x
-0.2336,0
-0.2336,0.003615856
-0.2336,0.005755544
-0.2336,0.007540345
-0.2336,0.009465814
-0.2336,0.01133525
-0.2336,0.01324773
-0.2336,0.01517403
-0.2336,0.01704502
-0.2336,0.01894546
-0.2336,0.02081358
-0.1776,0.02264798
-0.1776,0.02445352
-0.1776,0.02637422
-0.1776,0.02845192
-0.1776,0.03016031
-0.1776,0.03195035
-0.1776,0.03384852
-0.1776,0.0356487
-0.1776,0.03750014
-0.1776,0.03936136
-0.1776,0.04114103
-0.1776,0.04304647
-0.1776,0.04494131
-0.0941,0.04674423
-0.0941,0.04868567
-0.0941,0.05043936
-0.0941,0.05234993
-0.0941,0.05425584
-0.0941,0.05604899
-0.0941,0.05794549
-0.0941,0.05977035
-0.0941,0.06178117
-0.0941,0.06345737
-0.0941,0.06523669
-0.0941,0.06745028
-0.0941,0.06934607
-0.0941,0.0712353
-0.0398,0.07305837
-0.0398,0.07493806
-0.0398,0.07673633
-0.0398,0.07881272
-0.0398,0.0806483
-0.0398,0.08347499
-0.0398,0.08534455
-0.0398,0.08725297
-0.0398,0.08904898
-0.0398,0.09084368
-0.0398,0.0927645
-0.0398,0.09466827
-0.0144,0.09666431
-0.0144,0.09899366
-0.0144,0.1015804
-0.0144,0.1039398
-0.0144,0.105683
-0.0144,0.1075608
-0.0144,0.1093435
-0.0144,0.1113439
-0.0144,0.1132441
-0.0144,0.1150503
-0.0144,0.117191
-0.0144,0.1189452
-0.0144,0.1208156
-0.0136,0.1226537
-0.0136,0.1245642
-0.0136,0.1263486
-0.0136,0.1281704
-0.0136,0.1301038
-0.0136,0.1319484
-0.0136,0.1342486
-0.0136,0.1360407
-0.0136,0.1379588
-0.0136,0.139871
-0.0136,0.142134
-0.0136,0.1440495
-0.0136,0.1458746
-0.0029,0.1477442
-0.0029,0.1496435
-0.0029,0.1516806
-0.0029,0.1534557
-0.0029,0.1553482
-0.0029,0.1571449
-0.0029,0.1589409
-0.0029,0.1608452
-0.0029,0.1635081
-0.0029,0.1656455
-0.0029,0.1676426
-0.0029,0.1695528
-0.0029,0.1713494
-0.0051,0.1732433
-0.0051,0.1752663
-0.0051,0.1770508
-0.0051,0.1789663
-0.0051,0.1808388
-0.0051,0.1834559
-0.0051,0.1854664
-0.0051,0.1875694
-0.0051,0.1893407
-0.0051,0.1912438
-0.0051,0.193149
-0.0051,0.1951019
-0.0001,0.1968601
-0.0001,0.2043891
-0.0001,0.2060072
-0.0001,0.2082695
-0.0001,0.2100379
-0.0001,0.2119586
-0.0001,0.2138479
-0.0001,0.2156494
-0.0001,0.2175353
-0.0001,0.2194624
-0.0001,0.2213043
-0.0022,0.2231462
-0.0022,0.2250509
-0.0022,0.2275459
-0.0022,0.2297366
-0.0022,0.2314397
-0.0022,0.2333368
-0.0022,0.2353426
-0.0022,0.2374563
-0.0022,0.2395505
-0.0022,0.241461
-0.0022,0.243351
-0.0022,0.2451937
0.0005,0.2471443
0.0005,0.2490488
0.0005,0.2509426
0.0005,0.2527672
0.0005,0.2546229
0.0005,0.2564516
0.0005,0.2582357
0.0005,0.2601479
0.0005,0.2621456
0.0005,0.2639577
0.0005,0.2658519
0.0005,0.2676374
0.0005,0.2701811
-0.001,0.2723531
-0.001,0.2741755
-0.001,0.2760507
-0.001,0.2778475
-0.001,0.2801422
-0.001,0.2819387
-0.001,0.2839471
-0.001,0.2858788
-0.001,0.287744
-0.001,0.2895381
-0.001,0.29144
-0.001,0.2933564
-0.001,0.2951565
0.0004,0.2970722
0.0004,0.298844
0.0004,0.3009452
0.0004,0.3027444
0.0004,0.3046495
0.0004,0.3065648
0.0004,0.3085821
0.0004,0.3107461
0.0004,0.3124965
0.0004,0.3143548
0.0004,0.316151
0.0004,0.3182487
0.0004,0.3202335
-0.0005,0.3220513
-0.0005,0.3239547
-0.0005,0.3259617
-0.0005,0.3277521
-0.0005,0.3296789
-0.0005,0.3315785
-0.0005,0.3336459
-0.0005,0.3355471
-0.0005,0.3374591
-0.0005,0.339752
-0.0005,0.3416696
-0.0005,0.3442374
-0.0005,0.3464829
0.0003,0.348242
0.0003,0.3501496
0.0003,0.3518598
0.0003,0.3537195
0.0003,0.3555393
0.0003,0.3574405
0.0003,0.3592412
0.0003,0.3611593
0.0003,0.3629971
0.0003,0.3647342
0.0003,0.3671496
0.0003,0.3690538
0.0003,0.3708918
-0.0003,0.3727498
-0.0003,0.3746688
-0.0003,0.376555
-0.0003,0.3784604
-0.0003,0.3803496
-0.0003,0.3821428
-0.0003,0.3842504
-0.0003,0.3860648
-0.0003,0.3879092
-0.0003,0.3897419
-0.0003,0.3916578
-0.0003,0.39345
-0.0003,0.3954377
0.0002,0.3972843
0.0002,0.4003503
0.0002,0.4021513
0.0002,0.4040833
0.0002,0.4058878
0.0002,0.4079642
0.0002,0.4098506
0.0002,0.4117703
0.0002,0.4135494
0.0002,0.4154518
0.0002,0.4172418
0.0002,0.4191687
0.0002,0.4210031
-0.0002,0.4228475
-0.0002,0.4247601
-0.0002,0.4265561
-0.0002,0.4285965
-0.0002,0.4302692
-0.0002,0.4320476
-0.0002,0.4339464
-0.0002,0.435873
-0.0002,0.4376771
-0.0002,0.4395695
-0.0002,0.4414709
-0.0002,0.4432545
-0.0002,0.445092
0.0001,0.4470572
0.0001,0.4488413
0.0001,0.4509532
0.0001,0.4527726
0.0001,0.4545457
0.0001,0.4563456
0.0001,0.458353
0.0001,0.4601452
0.0001,0.4621761
0.0001,0.4639778
0.0001,0.4658515
0.0001,0.4679565
0.0001,0.4697516
-0.0001,0.4716063
-0.0001,0.473449
-0.0001,0.4754701
-0.0001,0.4772413
-0.0001,0.4791594
-0.0001,0.4809406
-0.0001,0.4834549
-0.0001,0.4852352
-0.0001,0.4871745
-0.0001,0.4889367
-0.0001,0.4908471
-0.0001,0.492748
-0.0001,0.4947445
0.0001,0.5006292
0.0001,0.5022497
0.0001,0.5043411
0.0001,0.5061388
0.0001,0.5079408
0.0001,0.5098503
0.0001,0.5117879
0.0001,0.5136795
0.0001,0.515444
0.0001,0.5175512
0.0001,0.519345
0.0001,0.5211785
-0.0001,0.5230789
-0.0001,0.5249438
-0.0001,0.5268507
-0.0001,0.528892
-0.0001,0.5307539
-0.0001,0.5332706
-0.0001,0.535147
-0.0001,0.536994
-0.0001,0.5388494
-0.0001,0.5406487
-0.0001,0.5424519
-0.0001,0.5442605
-0.0001,0.5460796
0,0.5478339
0,0.5500636
0,0.551852
0,0.5537076
0,0.5555718
0,0.5574882
0,0.5592461
0,0.5611567
0,0.5631442
0,0.5650446
0,0.5669661
0,0.5688565
0,0.5707405
0,0.5725355
0,0.5745509
0,0.5763435
0,0.5807171
0,0.5818369
0,0.5842581
0,0.586056
0,0.5878448
0,0.5896497
0,0.591568
0,0.593358
0,0.5953913
0,0.5972598
0,0.6007149
0,0.6027017
0,0.6047945
0,0.6071577
0,0.6089652
0,0.6107514
0,0.6127021
0,0.6146593
0,0.6166449
0,0.6185505
0,0.620558
0,0.6222408
0,0.6242855
0,0.626054
0,0.6280458
0,0.6303403
0,0.6320405
0,0.6340613
0,0.6358733
0,0.6376932
0,0.6449192
0,0.6465015
0,0.6485529
0,0.6504474
0,0.6522467
0,0.6541753
0,0.6559541
0,0.6578856
0,0.6596506
0,0.6642089
0,0.6654446
0,0.6678486
0,0.6697752
0,0.6715977
0,0.6735561
0,0.675349
0,0.6772542
0,0.6791046
0,0.6809652
0,0.6833537
0,0.6852381
0,0.6871619
0,0.6890454
0,0.6908603
0,0.692878
0,0.6952562
0,0.6970582
0,0.698873
0,0.7007411
0,0.7025526
0,0.7045074
0,0.7063498
