y,x
-0.2618,0
-0.2618,0.002001524
-0.2618,0.004208326
-0.2618,0.005994678
-0.2618,0.0079844
-0.2618,0.009899378
-0.2618,0.01174343
-0.2336,0.01359248
-0.2336,0.01547742
-0.2336,0.01739347
-0.2336,0.01923013
-0.2336,0.02109015
-0.2336,0.02290821
-0.2336,0.02479184
-0.2336,0.02658772
-0.2336,0.02862883
-0.2336,0.03018022
-0.2336,0.03207278
-0.2336,0.03401875
-0.2336,0.03580022
-0.1776,0.0377847
-0.1776,0.03968477
-0.1776,0.04149473
-0.1776,0.04328775
-0.1776,0.04514933
-0.1776,0.04699063
-0.1776,0.04882145
-0.1776,0.05089426
-0.1776,0.05288386
-0.1776,0.05479252
-0.1776,0.05659354
-0.1776,0.05849326
-0.1776,0.06039345
-0.1776,0.06220531
-0.1123,0.0640887
-0.1123,0.06589198
-0.1123,0.06771159
-0.1123,0.06970978
-0.1123,0.07158029
-0.1123,0.07348359
-0.1123,0.0752815
-0.1123,0.07709408
-0.1123,0.07895899
-0.1123,0.08079088
-0.1123,0.08279037
-0.1123,0.08468139
-0.1123,0.0865463
-0.0761,0.08848608
-0.0761,0.09040558
-0.0761,0.09264469
-0.0761,0.09409416
-0.0761,0.09587371
-0.0761,0.09778321
-0.0761,0.09957922
-0.0761,0.1015025
-0.0761,0.1033056
-0.0761,0.1052927
-0.0761,0.1071784
-0.0761,0.1089777
-0.0761,0.1108013
-0.0761,0.1127115
-0.0652,0.1147873
-0.0652,0.1165794
-0.0652,0.1184808
-0.0652,0.1203367
-0.0652,0.1221823
-0.0652,0.1241071
-0.0652,0.1259923
-0.0652,0.1277469
-0.0652,0.1295877
-0.0652,0.1313862
-0.0652,0.1332842
-0.0652,0.1351459
-0.0652,0.1369979
-0.0277,0.1388788
-0.0277,0.140785
-0.0277,0.142692
-0.0277,0.1444993
-0.0277,0.1462977
-0.0277,0.1480727
-0.0277,0.1498874
-0.0277,0.1516771
-0.0277,0.1534811
-0.0277,0.155288
-0.0277,0.1574142
-0.0277,0.1594813
-0.0277,0.1613023
-0.0189,0.1631734
-0.0189,0.1650856
-0.0189,0.1668772
-0.0189,0.1687973
-0.0189,0.170706
-0.0189,0.1725864
-0.0189,0.1743864
-0.0189,0.1763026
-0.0189,0.1780797
-0.0189,0.1800119
-0.0189,0.1817871
-0.0189,0.1836977
-0.0189,0.1856608
-0.0189,0.1874893
-0.0159,0.1892846
-0.0159,0.1912205
-0.0159,0.1929867
-0.0159,0.1948063
-0.0159,0.1965857
-0.0159,0.1984781
-0.0159,0.2003772
-0.0159,0.2022072
-0.0159,0.2040462
-0.0159,0.2058753
-0.0159,0.2077875
-0.0159,0.2096184
-0.0159,0.2115207
-0.0072,0.2132989
-0.0072,0.215072
-0.0072,0.2168833
-0.0072,0.2189616
-0.0072,0.220669
-0.0072,0.2225951
-0.0072,0.2244117
-0.0072,0.2262801
-0.0072,0.2281073
-0.0072,0.2299933
-0.0072,0.231874
-0.0072,0.2336763
