y,x
-0.2618,0
-0.2618,0.00205332
-0.2618,0.004070163
-0.2618,0.006389081
-0.2618,0.008484662
-0.2336,0.01033747
-0.2336,0.0122788
-0.2336,0.01397312
-0.2336,0.01575661
-0.2336,0.0176782
-0.2336,0.0199697
-0.2336,0.02179861
-0.2336,0.02345914
-0.2336,0.0262152
-0.2336,0.02736616
-0.2336,0.02937227
-0.2336,0.03116775
-0.2336,0.03305751
-0.1821,0.03479689
-0.1821,0.03677613
-0.1821,0.03846645
-0.1821,0.0402627
-0.1821,0.04217404
-0.1821,0.04399818
-0.1821,0.04576117
-0.1821,0.04811537
-0.1821,0.04947317
-0.1821,0.05140668
-0.1821,0.0531674
-0.1821,0.05497915
-0.1821,0.05687529
-0.1442,0.058815
-0.1442,0.06067455
-0.1442,0.06238073
-0.1442,0.06417716
-0.1442,0.06609637
-0.1442,0.06788617
-0.1442,0.0696646
-0.1442,0.07146698
-0.1442,0.07327312
-0.1442,0.07518566
-0.1442,0.07701683
-0.1442,0.07877594
-0.1442,0.0805791
-0.1442,0.08246624
-0.1257,0.08436245
-0.1257,0.08626831
-0.1257,0.0879907
-0.1257,0.08986682
-0.1257,0.09166878
-0.1257,0.09348404
-0.1257,0.09536886
-0.1257,0.09716332
-0.1257,0.09909195
-0.1257,0.1009619
-0.1257,0.1027657
-0.1257,0.10456
-0.1257,0.1065682
-0.1257,0.1083697
-0.1294,0.1103
-0.1294,0.1122664
-0.1294,0.1139624
-0.1294,0.115755
-0.1294,0.117681
-0.1294,0.1194621
-0.1294,0.1215157
-0.1294,0.1233584
-0.1294,0.1251736
-0.1294,0.1270934
-0.1294,0.1289819
-0.1294,0.1306701
-0.1294,0.1326001
-0.1545,0.1343783
-0.1545,0.1363643
-0.1545,0.138177
-0.1545,0.1400765
-0.1545,0.1420599
-0.1545,0.1438401
-0.1545,0.145695
-0.1545,0.1475797
-0.1545,0.1493683
-0.1545,0.1512175
-0.1545,0.1531389
-0.1545,0.1548918
-0.1545,0.1567661
-0.1966,0.1586589
-0.1966,0.1605766
-0.1966,0.1622702
-0.1966,0.1641669
-0.1966,0.1659871
-0.1966,0.1679205
-0.1966,0.1697806
-0.1966,0.171463
-0.1966,0.1733841
-0.1966,0.1751801
-0.1966,0.1773393
-0.1966,0.1790686
-0.1966,0.180976
-0.1966,0.1827666
-0.2487,0.1846316
-0.2487,0.1865722
-0.2487,0.1884902
-0.2487,0.1903669
-0.2487,0.192283
-0.2487,0.1941797
-0.2487,0.1959667
-0.2487,0.1977786
-0.2487,0.1995806
-0.2487,0.2014548
-0.2487,0.2032726
-0.2487,0.2051815
-0.2487,0.2069673
-0.3128,0.2087927
-0.3128,0.2107954
-0.3128,0.2123718
-0.3128,0.2141703
-0.3128,0.2160742
-0.3128,0.2178662
-0.3128,0.2196724
-0.3128,0.2216848
-0.3128,0.2234654
-0.3128,0.225538
-0.3128,0.2270576
-0.3128,0.2288698
-0.3128,0.2307629
-0.3128,0.2325776
-0.3805,0.2344704
-0.3805,0.2363602
-0.3805,0.2381582
-0.3805,0.240078
-0.3805,0.2419629
-0.3805,0.2436867
-0.3805,0.2454937
-0.3805,0.2473805
-0.3805,0.2491678
-0.3805,0.2509958
-0.3805,0.2528741
-0.4282,0.2602343
-0.4282,0.2622498
-0.4282,0.2638788
-0.4282,0.2660875
-0.4282,0.2678078
-0.4282,0.269704
-0.4282,0.2714745
-0.4282,0.2733667
-0.4282,0.2751766
-0.4282,0.2769809
-0.4282,0.2787659
-0.4282,0.2807014
-0.4282,0.2825813
-0.4485,0.2844033
-0.4485,0.2863653
-0.4485,0.2881733
-0.4485,0.2898695
-0.4485,0.2918214
-0.4485,0.2935681
-0.4485,0.2953552
-0.4485,0.2972596
-0.4485,0.2991855
-0.4485,0.300989
-0.4485,0.3027896
-0.4485,0.305737
-0.4485,0.3076776
-0.4402,0.3094736
-0.4402,0.3113676
-0.4402,0.3130938
-0.4402,0.3148661
-0.4402,0.316764
-0.4402,0.3185626
-0.4402,0.3203612
-0.4402,0.3221955
-0.4402,0.324092
-0.4402,0.3263859
-0.4402,0.3284615
-0.4402,0.3302619
-0.4402,0.3320729
-0.404,0.3339677
-0.404,0.3358933
-0.404,0.3374585
-0.404,0.3392737
-0.404,0.3410646
-0.404,0.3429704
-0.404,0.3447688
-0.404,0.346617
-0.404,0.3483551
-0.404,0.350175
-0.404,0.3519629
-0.404,0.353873
-0.404,0.3557644
-0.404,0.3577027
-0.3399,0.3594891
-0.3399,0.3614651
-0.3399,0.363273
