y,x
-0.2407,0
-0.2407,0.002169609
-0.2407,0.004148364
-0.2407,0.006868124
-0.2407,0.008448958
-0.2407,0.0102514
-0.2407,0.01176584
-0.2407,0.01334703
-0.2407,0.01504254
-0.2407,0.01676118
-0.2407,0.01845562
-0.2407,0.02015173
-0.2407,0.02177322
-0.2407,0.02355695
-0.1986,0.02515244
-0.1986,0.02710569
-0.1986,0.02844965
-0.1986,0.03004289
-0.1986,0.03177595
-0.1986,0.03334987
-0.1986,0.03484571
-0.1986,0.03654695
-0.1986,0.03814852
-0.1986,0.04006088
-0.1986,0.04175174
-0.1986,0.04336905
-0.1986,0.04498541
-0.1986,0.04664791
-0.1986,0.04834306
-0.136,0.04994655
-0.136,0.05165994
-0.136,0.05324662
-0.136,0.05491304
-0.136,0.05674851
-0.136,0.05834937
-0.136,0.06005204
-0.136,0.06166053
-0.136,0.06336975
-0.136,0.06497312
-0.136,0.06655025
-0.136,0.0682497
-0.136,0.07015038
-0.136,0.0718596
-0.136,0.07344294
-0.053,0.07517362
-0.053,0.07675624
-0.053,0.07836175
-0.053,0.07994831
-0.053,0.08164799
-0.053,0.08336616
-0.053,0.08495319
-0.053,0.08656394
-0.053,0.08815134
-0.053,0.09005487
-0.053,0.09154665
-0.053,0.0932591
-0.053,0.09486544
-0.053,0.09643793
-0.053,0.0981822
0.0501,0.09975839
0.0501,0.101647
0.0501,0.1033403
0.0501,0.1049458
0.0501,0.1068735
0.0501,0.1084716
0.0501,0.1100564
0.0501,0.111606
0.0501,0.1131475
0.0501,0.1147459
0.0501,0.1164503
0.0501,0.1182587
0.0501,0.1198637
0.0501,0.1214547
0.0501,0.123046
0.1731,0.1248511
0.1731,0.1265624
0.1731,0.12817
0.1731,0.1298673
0.1731,0.131453
0.1731,0.1331546
0.1731,0.1348524
0.1731,0.1364011
0.1731,0.1379509
0.1731,0.1400825
0.1731,0.1416497
0.1731,0.1436542
0.1731,0.1450574
0.1731,0.1467603
0.1731,0.1483539
0.3156,0.1499518
0.3156,0.1516739
0.3156,0.1532452
0.3156,0.1548504
0.3156,0.1566477
0.3156,0.1583538
0.3156,0.1600544
0.3156,0.1616086
0.3156,0.1632663
0.3156,0.1649023
0.3156,0.1664543
0.3156,0.1681485
0.3156,0.1697794
0.3156,0.1714618
0.3156,0.1732349
0.4776,0.1749682
0.4776,0.1766503
0.4776,0.1782575
0.4776,0.1798518
0.4776,0.1815509
0.4776,0.1831464
0.4776,0.1848537
0.4776,0.1864609
0.4776,0.1880633
0.4776,0.1900455
0.4776,0.1917548
0.4776,0.1942492
0.4776,0.1952604
0.4776,0.1968739
0.4776,0.1985581
0.6375,0.2001568
0.6375,0.2017603
0.6375,0.2033453
0.6375,0.204994
0.6375,0.2067617
0.6375,0.2083648
0.6375,0.2099508
0.6375,0.211566
0.6375,0.2131562
0.6375,0.2148552
0.6375,0.2164538
0.6375,0.2181512
0.6375,0.2197618
0.6375,0.2213618
0.6375,0.2234607
0.7954,0.2250539
0.7954,0.2266524
0.7954,0.2283275
0.7954,0.2299734
0.7954,0.2316601
0.7954,0.2332512
0.7954,0.2348478
0.7954,0.2364807
0.7954,0.2380427
0.7954,0.2399511
0.7954,0.2417663
0.7954,0.2433546
0.7954,0.2449441
0.9513,0.2504822
0.9513,0.2525847
0.9513,0.2541583
0.9513,0.2557615
0.9513,0.2574649
0.9513,0.2590567
0.9513,0.2606846
0.9513,0.2623578
0.9513,0.2639731
0.9513,0.2656481
0.9513,0.2672509
0.9513,0.2689579
0.9513,0.270551
0.9513,0.2722473
1.1053,0.2739736
1.1053,0.2755475
1.1053,0.2772466
1.1053,0.2788515
1.1053,0.2804457
1.1053,0.2820482
1.1053,0.2836531
1.1053,0.2853788
1.1053,0.2869508
1.1053,0.2885432
1.1053,0.2902637
1.1053,0.2918494
1.1053,0.2937014
1.1053,0.2953725
1.1053,0.2969534
1.1053,0.2985471
1.2574,0.3001519
1.2574,0.3020983
1.2574,0.3034555
1.2574,0.3050492
1.2574,0.3067811
1.2574,0.3082514
1.2574,0.3099508
1.2574,0.3115692
1.2574,0.3132528
1.2574,0.3150595
1.2574,0.3167778
1.2574,0.3182502
1.2574,0.3199475
1.2574,0.3215526
1.2574,0.3234638
1.4075,0.3250456
1.4075,0.3267585
1.4075,0.3284193
1.4075,0.3299472
1.4075,0.3316612
1.4075,0.3332494
1.4075,0.334842
1.4075,0.3365422
1.4075,0.3381501
1.4075,0.3400884
1.4075,0.3417549
1.4075,0.3433423
1.4075,0.3449862
1.4075,0.3466499
1.4075,0.3483576
1.5558,0.3500696
1.5558,0.3516589
1.5558,0.353246
1.5558,0.3548608
1.5558,0.3569537
1.5558,0.3584539
1.5558,0.3600889
1.5558,0.3616868
1.5558,0.3633574
1.5558,0.3649576
1.5558,0.366658
1.5558,0.3682542
1.5558,0.3699508
1.5558,0.3715712
1.5558,0.3733484
1.7022,0.375055
1.7022,0.3766496
1.7022,0.378355
1.7022,0.3800601
1.7022,0.3817692
1.7022,0.3833526
1.7022,0.3849521
1.7022,0.3864998
1.7022,0.3880405
1.7022,0.38975
1.7022,0.3913406
1.7022,0.3930799
1.7022,0.3945875
1.7022,0.3962598
1.7022,0.3978559
1.8468,0.3995832
1.8468,0.40105
1.8468,0.4027816
1.8468,0.4044689
1.8468,0.4060528
1.8468,0.4077731
1.8468,0.4093481
1.8468,0.410991
1.8468,0.4126576
1.8468,0.4142489
1.8468,0.4158771
1.8468,0.4174572
1.8468,0.4191556
1.8468,0.4208984
1.8468,0.4224535
1.9896,0.4240421
1.9896,0.4256488
1.9896,0.4272864
1.9896,0.4288459
1.9896,0.4305515
1.9896,0.4322512
1.9896,0.4338505
1.9896,0.4356561
1.9896,0.4372442
1.9896,0.4389647
1.9896,0.4405589
1.9896,0.4422548
1.9896,0.4437982
1.9896,0.445347
1.9896,0.4469551
1.9896,0.4485424
2.1306,0.4502819
2.1306,0.4519501
2.1306,0.4535549
2.1306,0.4551611
2.1306,0.4567492
2.1306,0.4583505
2.1306,0.4600521
2.1306,0.4617083
2.1306,0.4635779
2.1306,0.4649447
2.1306,0.4666563
2.1306,0.4682547
2.1306,0.4698716
2.1306,0.4714431
2.1306,0.473394
2.2699,0.4750521
2.2699,0.4766562
2.2699,0.4782716
2.2699,0.4798464
2.2699,0.4816487
2.2699,0.4832478
2.2699,0.484969
2.2699,0.4865403
2.2699,0.4881518
2.2699,0.4900544
2.2699,0.4916458
2.2699,0.4933561
2.2699,0.4949806
2.2699,0.4965415
2.2699,0.4982477
2.4074,0.4998493
2.4074,0.501555
2.4074,0.5032427
2.4074,0.5048544
2.4074,0.5066683
2.4074,0.5084974
2.4074,0.5100604
2.4074,0.5117087
2.4074,0.5133601
2.4074,0.5150572
2.4074,0.5166471
2.4074,0.5182743
2.4074,0.5199014
2.4074,0.5214471
2.4074,0.5233512
2.5431,0.5250585
2.5431,0.5266548
2.5431,0.5283717
2.5431,0.52996
2.5431,0.5316541
2.5431,0.5332524
2.5431,0.5349501
2.5431,0.536571
2.5431,0.5382602
2.5431,0.5400611
2.5431,0.5417528
2.5431,0.543453
2.5431,0.5450983
2.5431,0.5467499
2.5431,0.5483389
2.6772,0.5500749
2.6772,0.5516518
2.6772,0.5532546
2.6772,0.5548445
2.6772,0.5567523
2.6772,0.5583581
2.6772,0.5600393
2.6772,0.5616771
2.6772,0.5632566
2.6772,0.5648639
2.6772,0.5665579
