DroneID,Time,X,Z
Agent 0,0,-1.829512,-3.504757
Agent 1,0,-3.494649,3.892789
Agent 2,0,2.975704,3.637176
Agent 3,0,-2.916183,2.828737
Agent 4,0,0.6718102,0.9108834
Agent 5,0,-3.814404,-0.4801488
Agent 6,0,1.500797,-3.527154
Agent 7,0,0.4207649,2.041194
Agent 0,0.5006735,-1.829512,-3.375249
Agent 1,0.5006735,-3.494649,4.023065
Agent 2,0.5006735,2.975704,3.766205
Agent 3,0.5006735,-2.916183,2.958817
Agent 4,0.5006735,0.6735783,1.04481
Agent 5,0.5006735,-3.814341,-0.3506732
Agent 6,0.5006735,1.500797,-3.397807
Agent 7,0.5006735,0.4207649,2.170433
Agent 0,1.001949,-1.829512,-1.877642
Agent 1,1.001949,-3.514277,5.423209
Agent 2,1.001949,2.975704,5.121463
Agent 3,1.001949,-2.907629,4.282484
Agent 4,1.001949,0.8841209,1.946673
Agent 5,1.001949,-3.775059,0.6630307
Agent 6,1.001949,1.500797,-2.071012
Agent 7,1.001949,0.4207649,3.596389
Agent 0,1.500417,-1.829512,1.428014
Agent 1,1.500417,-3.631311,8.119184
Agent 2,1.500417,2.975704,7.452683
Agent 3,1.500417,-2.932362,6.205993
Agent 4,1.500417,1.544661,2.699832
Agent 5,1.500417,-3.693474,1.59642
Agent 6,1.500417,1.500797,-0.0694136
Agent 7,1.500417,0.4207649,6.633242
Agent 0,2.003327,-1.829659,5.109426
Agent 1,2.003327,-3.788353,11.23455
Agent 2,2.003327,2.975704,9.210789
Agent 3,2.003327,-2.954059,7.593963
Agent 4,2.003327,1.948009,3.713083
Agent 5,2.003327,-3.640829,2.297511
Agent 6,2.003327,1.500797,1.681129
Agent 7,2.003327,0.4207649,10.10903
Agent 0,2.502554,-1.829875,7.706422
Agent 1,2.502554,-3.901098,13.97795
Agent 2,2.502554,2.975704,10.30265
Agent 3,2.502554,-2.969431,8.523749
Agent 4,2.502554,2.07814,5.616832
Agent 5,2.502554,-3.608262,2.863312
Agent 6,2.502554,1.500797,3.559255
Agent 7,2.502554,0.4210815,12.74522
Agent 0,3.000596,-1.82748,9.418167
Agent 1,3.000596,-3.969207,15.86283
Agent 2,3.000596,2.975704,11.08497
Agent 3,3.000596,-2.979988,9.20575
Agent 4,3.000596,2.128916,7.240755
Agent 5,3.000596,-3.587523,3.340979
Agent 6,3.000596,1.500797,4.929024
Agent 7,3.000596,0.4244547,14.54587
Agent 0,3.500415,-1.789033,11.5674
Agent 1,3.500415,-3.999048,18.2352
Agent 2,3.500415,2.975704,12.72582
Agent 3,3.500415,-2.998952,10.74192
