DroneID,Time,X,Z
Agent 0,0,-1.550663,-1.267246
Agent 1,0,0.2986946,0.3932586
Agent 2,0,-2.053686,-3.810094
Agent 3,0,3.971603,0.8758512
Agent 4,0,2.427425,-1.982806
Agent 5,0,2.881474,3.670937
Agent 6,0,-0.3902073,-3.658457
Agent 7,0,-3.103126,0.05468416
Agent 0,0.5007082,-1.550663,-1.119744
Agent 1,0.5007082,0.2986946,0.5407604
Agent 2,0.5007082,-2.053686,-3.662592
Agent 3,0.5007082,3.971603,1.023353
Agent 4,0.5007082,2.427425,-1.835304
Agent 5,0.5007082,2.881474,3.818438
Agent 6,0.5007082,-0.3902073,-3.510955
Agent 7,0.5007082,-3.103126,0.202186
Agent 0,1.001332,-1.550663,0.2682512
Agent 1,1.001332,0.2986946,1.928755
Agent 2,1.001332,-2.053686,-2.274598
Agent 3,1.001332,3.971603,2.411348
Agent 4,1.001332,2.427425,-0.4473093
Agent 5,1.001332,2.881474,5.206434
Agent 6,1.001332,-0.3902073,-2.122961
Agent 7,1.001332,-3.103126,1.590181
Agent 0,1.501374,-1.550663,2.928325
Agent 1,1.501374,0.2986946,4.58883
Agent 2,1.501374,-2.053686,0.3854759
Agent 3,1.501374,3.971603,5.071423
Agent 4,1.501374,2.427425,2.212765
Agent 5,1.501374,2.881474,7.866509
Agent 6,1.501374,-0.3902073,0.537113
Agent 7,1.501374,-3.103126,4.250255
Agent 0,2.000936,-1.550663,5.697176
Agent 1,2.000936,0.2986946,7.357682
Agent 2,2.000936,-2.053686,3.154326
Agent 3,2.000936,3.971603,7.840274
Agent 4,2.000936,2.427425,4.981616
Agent 5,2.000936,2.881474,10.63536
Agent 6,2.000936,-0.3902073,3.305964
Agent 7,2.000936,-3.103126,7.019105
Agent 0,2.501109,-1.550663,8.798397
Agent 1,2.501109,0.2986946,10.4589
Agent 2,2.501109,-2.053686,6.255547
Agent 3,2.501109,3.971603,10.9415
Agent 4,2.501109,2.427425,8.082838
Agent 5,2.501109,2.881474,13.73658
Agent 6,2.501109,-0.3902073,6.407184
Agent 7,2.501109,-3.103126,10.12033
Agent 0,3.000716,-1.550663,12.42021
Agent 1,3.000716,0.2986946,14.08072
Agent 2,3.000716,-2.053686,9.877359
Agent 3,3.000716,3.971603,14.56331
Agent 4,3.000716,2.427425,11.70465
Agent 5,3.000716,2.881474,17.3584
Agent 6,3.000716,-0.3902073,10.029
Agent 7,3.000716,-3.103126,13.74214
Agent 0,3.500171,-1.550663,15.55795
Agent 1,3.500171,0.2986946,17.21846
Agent 2,3.500171,-2.053686,13.01509
Agent 3,3.500171,3.971603,17.70106
Agent 4,3.500171,2.427425,14.84239
Agent 5,3.500171,2.881474,20.49614
Agent 6,3.500171,-0.3902073,13.16673
Agent 7,3.500171,-3.103126,16.87988
Agent 0,4.000716,-1.550663,17.6343
Agent 1,4.000716,0.2986946,19.29481
Agent 2,4.000716,-2.053686,15.09145
Agent 3,4.000716,3.971603,19.77741
Agent 4,4.000716,2.427425,16.91875
Agent 5,4.000716,2.881474,22.57248
Agent 6,4.000716,-0.3902073,15.24308
Agent 7,4.000716,-3.103126,18.95623
Agent 0,4.50009,-1.550663,19.29972
Agent 1,4.50009,0.2986946,20.96023
Agent 2,4.50009,-2.053686,16.75686
Agent 3,4.50009,3.971603,21.44282
Agent 4,4.50009,2.427425,18.58416
Agent 5,4.50009,2.881474,24.2379
Agent 6,4.50009,-0.3902073,16.9085
Agent 7,4.50009,-3.103126,20.62164
Agent 0,5.000472,-1.550663,21.77692
Agent 1,5.000472,0.2986946,23.43743
Agent 2,5.000472,-2.053686,19.23406
Agent 3,5.000472,3.971603,23.92002
Agent 4,5.000472,2.427425,21.06136
Agent 5,5.000472,2.881474,26.7151
Agent 6,5.000472,-0.3902073,19.3857
Agent 7,5.000472,-3.103126,23.09883
Agent 0,5.500998,-1.550663,25.19238
Agent 1,5.500998,0.2986946,26.85289
Agent 2,5.500998,-2.053686,22.64952
Agent 3,5.500998,3.971603,27.33548
Agent 4,5.500998,2.427425,24.47682
Agent 5,5.500998,2.881474,30.13056
Agent 6,5.500998,-0.3902073,22.80117
Agent 7,5.500998,-3.103126,26.51429
Agent 0,6.000176,-1.550663,28.71253
Agent 1,6.000176,0.2986946,30.37304
Agent 2,6.000176,-2.053686,26.16968
Agent 3,6.000176,3.971603,30.85564
Agent 4,6.000176,2.427425,27.99697
Agent 5,6.000176,2.881474,33.65071
Agent 6,6.000176,-0.3902073,26.32133
Agent 7,6.000176,-3.103126,30.03445
Agent 0,6.500319,-1.550663,32.38156
Agent 1,6.500319,0.2986946,34.04207
Agent 2,6.500319,-2.053686,29.8387
Agent 3,6.500319,3.971603,34.52467
Agent 4,6.500319,2.427425,31.666
Agent 5,6.500319,2.881474,37.31974
Agent 6,6.500319,-0.3902073,29.99036
Agent 7,6.500319,-3.103126,33.70348
Agent 0,7.001307,-1.550663,36.47813
Agent 1,7.001307,0.2986946,38.13864
Agent 2,7.001307,-2.053686,33.93526
Agent 3,7.001307,3.971603,38.62123
Agent 4,7.001307,2.427425,35.76257
Agent 5,7.001307,2.881474,41.4163
Agent 6,7.001307,-0.3902073,34.08693
Agent 7,7.001307,-3.103126,37.80005
Agent 0,7.500973,-1.550663,40.70324
Agent 1,7.500973,0.2986946,42.36375
Agent 2,7.500973,-2.053686,38.16037
Agent 3,7.500973,3.971603,42.84634
Agent 4,7.500973,2.427425,39.98767
Agent 5,7.500973,2.881474,45.64141
Agent 6,7.500973,-0.3902073,38.31205
Agent 7,7.500973,-3.103126,42.02516
Agent 0,8.000207,-1.550663,45.08186
Agent 1,8.000207,0.2986946,46.74237
Agent 2,8.000207,-2.053686,42.53899
Agent 3,8.000207,3.971603,47.22496
Agent 4,8.000207,2.427425,44.36629
Agent 5,8.000207,2.881474,50.02003
Agent 6,8.000207,-0.3902073,42.69067
Agent 7,8.000207,-3.103126,46.40378
Agent 0,8.501846,-1.550663,49.55596
Agent 1,8.501846,0.2986946,51.21647
Agent 2,8.501846,-2.053686,47.0131
Agent 3,8.501846,3.971603,51.69907
Agent 4,8.501846,2.427425,48.8404
Agent 5,8.501846,2.881474,54.49414
Agent 6,8.501846,-0.3902073,47.16477
Agent 7,8.501846,-3.103126,50.87788
Agent 0,9.000224,-1.550663,53.90712
Agent 1,9.000224,0.2986946,55.56763
Agent 2,9.000224,-2.053686,51.36425
Agent 3,9.000224,3.971603,56.05023
Agent 4,9.000224,2.427425,53.19156
Agent 5,9.000224,2.881474,58.8453
Agent 6,9.000224,-0.3902073,51.51593
Agent 7,9.000224,-3.103126,55.22905
Agent 0,9.500196,-1.550663,58.34581
Agent 1,9.500196,0.2986946,60.00632
Agent 2,9.500196,-2.053686,55.80294
Agent 3,9.500196,3.971603,60.48892
Agent 4,9.500196,2.427425,57.63025
Agent 5,9.500196,2.881474,63.28399
Agent 6,9.500196,-0.3902073,55.95462
Agent 7,9.500196,-3.103126,59.66774
