y,x
-0.2618,0
-0.2618,0.001899779
-0.2618,0.003707469
-0.2618,0.005499363
-0.2336,0.007296264
-0.2336,0.009196937
-0.2336,0.01081306
-0.2336,0.01258737
-0.2336,0.0145213
-0.2336,0.01628715
-0.2336,0.01864988
-0.2336,0.0201984
-0.2336,0.02196771
-0.2336,0.0237928
-0.2336,0.02548379
-0.2336,0.02728301
-0.2336,0.02908736
-0.2336,0.03083259
-0.1776,0.03259856
-0.1776,0.03519207
-0.1776,0.03678876
-0.1776,0.03858894
-0.1776,0.04038209
-0.1776,0.04206902
-0.1776,0.04400367
-0.1776,0.04590136
-0.1776,0.04768866
-0.1776,0.04948872
-0.1776,0.05220824
-0.1776,0.05410796
-0.1776,0.05583233
-0.0941,0.05759436
-0.0941,0.05958813
-0.0941,0.06117839
-0.0941,0.06318456
-0.0941,0.064807
-0.0941,0.06658977
-0.0941,0.06847817
-0.0941,0.07030302
-0.0941,0.07214123
-0.0941,0.07389539
-0.0941,0.07572418
-0.0941,0.07749563
-0.0941,0.07929701
-0.0941,0.08118254
-0.0398,0.08299297
-0.0398,0.08539599
-0.0398,0.08708006
-0.0398,0.0887472
-0.0398,0.09048134
-0.0398,0.09229547
-0.0398,0.09410316
-0.0398,0.09589547
-0.0398,0.09774631
-0.0398,0.0995881
-0.0398,0.1015893
-0.0398,0.1033888
-0.0398,0.1052071
-0.0398,0.1069869
-0.0144,0.1089116
-0.0144,0.1108972
-0.0144,0.1123919
-0.0144,0.1143554
-0.0144,0.1161866
-0.0144,0.1184004
-0.0144,0.1202179
-0.0144,0.122387
-0.0144,0.1242027
-0.0144,0.1273997
-0.0144,0.1295941
-0.0144,0.1313807
-0.0175,0.1330909
-0.0175,0.135199
-0.0175,0.1367896
-0.0175,0.1386576
-0.0175,0.1404961
-0.0175,0.1423107
-0.0175,0.1442481
-0.0175,0.1459909
-0.0175,0.1478748
-0.0175,0.149792
-0.0175,0.1516457
-0.0175,0.1534144
-0.0175,0.1552132
-0.0175,0.1569929
0.0077,0.1587806
0.0077,0.1609064
0.0077,0.1624796
0.0077,0.1642763
0.0077,0.1660934
0.0077,0.1681859
0.0077,0.1700833
0.0077,0.1719911
0.0077,0.1737898
0.0077,0.1755003
0.0043,0.183652
0.0043,0.1859596
0.0043,0.1875086
0.0043,0.1892424
0.0043,0.191089
0.0043,0.192892
0.0043,0.1946802
0.0043,0.1967754
0.0043,0.198388
0.0043,0.2001837
0.0043,0.2023005
0.0043,0.2041911
0.0043,0.2059767
0.0022,0.2077063
0.0022,0.2096813
0.0022,0.2113984
0.0022,0.2133543
0.0022,0.2149882
0.0022,0.21679
0.0022,0.2186132
0.0022,0.2203997
0.0022,0.2222111
0.0022,0.2240996
0.0022,0.2258838
0.0022,0.2276928
0.0022,0.2296042
0.0022,0.2313926
0.0016,0.2331905
0.0016,0.2352151
0.0016,0.2367948
0.0016,0.2385926
0.0016,0.2403991
0.0016,0.2421741
0.0016,0.24408
0.0016,0.2459912
0.0016,0.247843
0.0016,0.2495845
0.0016,0.2519009
0.0016,0.2536792
0.0016,0.2555656
0,0.2572895
0,0.259295
0,0.2608933
0,0.2627116
0,0.264499
0,0.266285
0,0.2681804
0,0.2699999
0,0.2718315
0,0.2736043
0,0.2755845
0,0.2773855
0,0.2791961
0,0.2810124
0.0025,0.282777
0.0025,0.28501
0.0025,0.2865959
0.0025,0.2884335
0.0025,0.2903036
0.0025,0.2920855
0.0025,0.2938896
0.0025,0.2957824
0.0025,0.2975414
0.0025,0.2994036
0.0025,0.301491
