y,x
-0.2336,0
-0.2336,0.002465725
-0.2336,0.00447607
-0.2336,0.006212354
-0.2336,0.008009315
-0.2336,0.009808302
-0.2336,0.01170385
-0.2336,0.01359248
-0.2336,0.01529408
-0.2336,0.01720965
-0.2336,0.0190146
-0.1776,0.02083385
-0.1776,0.02281451
-0.1776,0.02452981
-0.1776,0.02640986
-0.1776,0.02824259
-0.1776,0.03001702
-0.1776,0.03181112
-0.1776,0.03364456
-0.1776,0.03543115
-0.1776,0.03727961
-0.1776,0.03912103
-0.1776,0.04100692
-0.1776,0.04269528
-0.0941,0.0446434
-0.0941,0.04653239
-0.0941,0.04817033
-0.0941,0.05000687
-0.0941,0.05191815
-0.0941,0.05366588
-0.0941,0.05540812
-0.0941,0.0573324
-0.0941,0.05911136
-0.0941,0.06091154
-0.0941,0.06273079
-0.0941,0.064502
-0.0941,0.06619394
-0.0941,0.06812906
0.0166,0.07006645
0.0166,0.07211542
0.0166,0.07380843
0.0166,0.07560778
0.0166,0.07741058
0.0166,0.07933223
0.0166,0.08112359
0.0166,0.08290863
0.0166,0.08481681
0.0166,0.08671904
0.0166,0.08857691
0.0166,0.09042537
0.0166,0.09221613
0.0166,0.09401381
0.0977,0.09575903
0.0977,0.09770727
0.0977,0.09941268
0.0977,0.1013429
0.0977,0.103206
0.0977,0.105105
0.0977,0.1068981
0.0977,0.1089077
0.0977,0.1108097
0.0977,0.1126575
0.0977,0.1144139
0.0977,0.1163104
0.0977,0.1181164
0.1496,0.1200705
0.1496,0.1221128
0.1496,0.1238862
0.1496,0.1256033
0.1496,0.1274022
0.1496,0.1292897
0.1496,0.1310954
0.1496,0.1328948
0.1496,0.1348344
0.1496,0.1367836
0.1496,0.1386153
0.1496,0.1405349
0.1496,0.1422123
0.1496,0.1441205
0.1726,0.1459275
0.1726,0.1479224
0.1726,0.1496061
0.1726,0.1513983
0.1726,0.1533958
0.1726,0.155218
0.1726,0.1570232
0.1726,0.1588087
0.1726,0.1606104
0.1726,0.1627227
0.1726,0.1648031
0.1726,0.1666281
0.1726,0.1684412
0.1672,0.1701899
0.1672,0.1721084
0.1672,0.1738204
0.1672,0.175612
0.1672,0.1774145
0.1672,0.179335
0.1672,0.1811105
0.1672,0.1829829
0.1672,0.1847017
0.1672,0.1866615
0.1672,0.1886151
0.1672,0.1905327
0.1672,0.192322
0.1672,0.1941178
0.1337,0.195853
0.1337,0.1978153
0.1337,0.1995087
0.1337,0.2013263
0.1337,0.2033238
0.1337,0.2052146
0.1337,0.207211
0.1337,0.2089058
0.1337,0.2108213
0.1337,0.2126242
0.1337,0.2144004
0.1337,0.2162106
0.1337,0.2181141
0.0723,0.2201322
0.0723,0.222147
0.0723,0.2237228
0.0723,0.2258428
0.0723,0.227417
0.0723,0.2291572
0.0723,0.2309213
0.0723,0.2328168
0.0723,0.2346987
0.0723,0.2365451
0.0723,0.2384049
0.0723,0.2403818
0.0723,0.2421038
0.0723,0.2439129
-0.0164,0.245736
-0.0164,0.2477078
-0.0164,0.2494076
-0.0164,0.2512259
-0.0164,0.253003
-0.0164,0.254902
-0.0164,0.2567213
-0.0164,0.2585132
-0.0164,0.2603232
-0.0164,0.2621543
-0.0164,0.2640241
-0.0164,0.265921
-0.0164,0.2677252
-0.0759,0.2696478
-0.0759,0.271608
-0.0759,0.2733061
-0.0759,0.2752149
-0.0759,0.2770106
-0.0759,0.2788203
-0.0759,0.2806113
-0.0759,0.2825069
-0.0759,0.284309
-0.0759,0.2863977
-0.0759,0.2879125
-0.0759,0.2898775
-0.0759,0.2916299
-0.0759,0.2933135
-0.1064,0.2951055
-0.1064,0.2971088
-0.1064,0.2987033
-0.1064,0.3006272
-0.1064,0.3024037
-0.1064,0.3042473
-0.1064,0.3061066
-0.1064,0.308012
-0.1064,0.3098073
-0.1064,0.3121847
-0.1064,0.3143315
-0.1064,0.316118
-0.1064,0.3178992
-0.1083,0.3199048
-0.1083,0.3220166
-0.1083,0.3236181
-0.1083,0.3254045
-0.1083,0.3272078
-0.1083,0.3356848
-0.1083,0.3402941
-0.1083,0.3418524
-0.1083,0.3439177
-0.0821,0.3457193
-0.0821,0.3476244
-0.0821,0.3493122
-0.0821,0.3511077
