DroneReached,DroneLost,DroneDead,TimeReached,Collisions,Sigma
---COLLISION RUN 1---
3,0,4,28.67491,66,12.57827
2,0,5,30.47766,37,11.2363
2,0,5,33.66837,60,9.830184
2,0,5,33.61418,71,9.967569
2,0,5,35.40226,59,9.667233
2,0,5,37.07245,54,9.394078
2,0,5,26.20086,45,13.04223
3,0,4,29.27536,54,11.69552
4,0,3,26.70543,36,12.50155
3,0,4,25.77067,25,13.67569
4,0,3,25.20855,41,13.90043
4,0,3,25.09187,52,12.65974
3,0,4,28.71758,65,13.14513
5,0,2,21.62626,37,15.09782
5,0,2,23.66309,31,12.4768
3,0,4,25.48999,180,14.78771
4,0,3,23.4822,34,15.28391
4,0,3,22.62654,32,12.82259
3,0,3,32.18888,37,9.290144
5,0,2,24.29832,42,12.94989
3,0,4,36.08975,55,10.2197
3,0,4,30.13654,144,12.31836
4,0,3,28.2355,40,11.9446
4,0,3,26.82788,42,11.88897
4,0,3,28.59361,43,12.5592
3,0,3,27.34654,44,13.44365
3,0,4,27.59118,23,11.90768
4,0,3,31.69186,37,8.663929
3,0,4,27.42108,44,13.55213
3,0,4,31.39592,35,11.46483
4,0,3,24.58718,34,15.18087
5,0,2,28.61449,37,11.35091
3,0,4,24.88895,52,14.07256
4,0,3,23.16096,45,14.79278
3,0,4,32.41404,68,10.28452
4,0,3,24.94727,26,13.19516
3,0,4,28.69452,43,13.49089
3,0,4,33.27885,45,9.5585
3,0,4,27.24804,55,12.94085
3,0,4,30.2943,33,12.27082
5,0,2,23.40067,186,14.88717
3,0,4,25.6416,37,12.7602
3,0,4,23.95668,43,14.89422
4,0,3,23.00241,39,14.82585
3,0,4,26.33826,27,13.04715
4,0,3,26.14227,69,12.10626
3,0,3,27.76819,32,12.62636
4,0,3,26.60427,52,12.92257
4,0,3,25.25705,59,13.88449
4,0,3,25.53965,17,14.71264
3,0,4,29.02527,46,12.52854
2,0,5,28.62196,38,12.1061
3,0,4,32.72827,43,10.08939
4,0,3,25.63469,33,13.78906
4,0,3,23.55628,31,15.40915

5,0,2,22.39527,67,14.14562
5,0,2,22.27031,85,14.60609
4,0,3,26.902,52,11.74171
4,0,3,27.60592,34,11.90735
5,0,1,21.38883,23,12.52094
5,0,2,24.01667,27,14.51828
4,0,3,22.26626,55,14.6918
5,0,2,24.81524,31,12.62226
5,0,2,23.21723,56,12.3525
4,0,3,27.91124,57,12.58858
4,0,3,26.69106,40,13.98993
6,0,1,21.51464,39,13.45669
4,0,3,26.8762,20,10.53005
5,0,2,23.98138,33,13.0227
5,0,2,22.65886,56,13.38256
4,0,3,23.69409,32,14.17713
6,0,1,22.47078,23,12.79968
5,0,2,22.43794,120,13.34051
4,0,3,26.82512,33,12.04618
4,0,3,22.88179,40,13.97465
4,0,3,22.14979,31,14.75442
4,0,3,21.99853,67,14.15703
5,0,2,21.68141,37,15.60856
5,0,2,22.84327,71,12.53479
4,0,3,23.63822,240,15.15664
4,0,2,23.14607,48,14.85168
5,0,2,23.14524,31,11.97653
