DroneID,Time,X,Z
Agent 0,0,-2.230899,-0.6689198
Agent 1,0,2.021513,-2.493527
Agent 2,0,-2.616689,-1.658323
Agent 3,0,-0.3434401,1.574595
Agent 4,0,-1.153942,0.7186877
Agent 5,0,-0.2130041,-1.915605
Agent 6,0,1.260626,-0.9524442
Agent 7,0,-3.776976,-0.6691163
Agent 0,0.5087355,-1.967275,-0.4681664
Agent 1,0.5087355,2.305609,-2.253065
Agent 2,0.5087355,-2.346001,-1.499857
Agent 3,0.5087355,-0.05195808,1.833659
Agent 4,0.5087355,-0.8688021,0.9830998
Agent 5,0.5087355,0.07912159,-1.736138
Agent 6,0.5087355,1.559427,-0.7135324
Agent 7,0.5087355,-3.52207,-0.4655932
Agent 0,1.009921,-1.301644,-0.0320701
Agent 1,1.009921,3.020052,-1.67638
Agent 2,1.009921,-1.616942,-1.192632
Agent 3,1.009921,0.6722059,2.473636
Agent 4,1.009921,-0.1598043,1.646187
Agent 5,1.009921,0.8767653,-1.388728
Agent 6,1.009921,2.334335,-0.1470237
Agent 7,1.009921,-2.891519,-0.01111454
Agent 0,1.506585,-0.6944275,0.3605864
Agent 1,1.506585,3.74789,-1.116219
Agent 2,1.506585,-0.9022312,-0.7951727
Agent 3,1.506585,1.316451,3.103571
Agent 4,1.506585,0.6547241,2.258169
Agent 5,1.506585,1.682512,-1.108556
Agent 6,1.506585,3.113665,0.4037203
Agent 7,1.506585,-2.320772,0.434439
Agent 0,2.005927,-0.2419901,0.8760811
Agent 1,2.005927,4.532646,-0.4214687
Agent 2,2.005927,-0.3853168,-0.01936865
Agent 3,2.005927,1.872252,3.932494
Agent 4,2.005927,1.869143,2.701211
Agent 5,2.005927,2.501316,-0.8595259
Agent 6,2.005927,3.943268,1.111688
Agent 7,2.005927,-1.927426,1.046309
Agent 0,2.50405,0.2198935,1.763304
Agent 1,2.50405,5.39138,0.4758371
Agent 2,2.50405,0.04793072,1.021682
Agent 3,2.50405,2.449812,5.10073
Agent 4,2.50405,3.456188,3.046027
Agent 5,2.50405,3.576218,-0.6197758
Agent 6,2.50405,4.881155,2.036937
Agent 7,2.50405,-1.595798,2.013589
Agent 0,3.006752,0.7050295,2.894001
Agent 1,3.006752,6.194212,1.319535
Agent 2,3.006752,0.6770773,1.961863
Agent 3,3.006752,2.92676,6.214983
Agent 4,3.006752,4.829327,3.448784
Agent 5,3.006752,4.573387,-0.4082348
Agent 6,3.006752,5.723671,2.976543
Agent 7,3.006752,-1.308922,3.042383
Agent 0,3.50078,1.136403,4.357001
Agent 1,3.50078,7.021469,2.208781
Agent 2,3.50078,1.474555,2.701707
Agent 3,3.50078,3.363642,7.314494
Agent 4,3.50078,5.784012,4.356381
Agent 5,3.50078,5.340649,-0.1555955
Agent 6,3.50078,6.5446,4.058447
Agent 7,3.50078,-1.089194,3.981937
Agent 0,4.000899,1.485453,5.960484
Agent 1,4.000899,7.886539,3.180102
Agent 2,4.000899,2.190504,3.324723
Agent 3,4.000899,3.840269,8.351917
Agent 4,4.000899,6.456707,5.689123
Agent 5,4.000899,6.12219,0.1606029
Agent 6,4.000899,7.365911,5.213641
Agent 7,4.000899,-0.8814764,4.954218
Agent 0,4.50391,1.87747,7.302523
Agent 1,4.50391,8.671556,4.035285
Agent 2,4.50391,2.918907,3.821086
Agent 3,4.50391,4.274626,9.196892
Agent 4,4.50391,7.218735,6.81414
Agent 5,4.50391,7.026869,0.5140615
Agent 6,4.50391,8.115686,6.333422
Agent 7,4.50391,-0.6494083,5.819273
Agent 0,5.004507,2.506897,8.330105
Agent 1,5.004507,9.388744,4.828046
Agent 2,5.004507,3.828978,4.236926
Agent 3,5.004507,4.623589,10.19956
Agent 4,5.004507,8.40501,7.618924
Agent 5,5.004507,8.001736,0.9906443
Agent 6,5.004507,8.89311,7.526338
Agent 7,5.004507,-0.3870087,6.411119
Agent 0,5.511652,3.250427,9.02611
Agent 1,5.511652,10.10853,5.680985
Agent 2,5.511652,4.813267,4.758399
Agent 3,5.511652,4.943398,11.33658
Agent 4,5.511652,9.729687,8.261163
Agent 5,5.511652,9.031979,1.564218
Agent 6,5.511652,9.681379,8.727964
Agent 7,5.511652,-0.04649544,6.776277
Agent 0,6.008031,3.828058,9.46719
Agent 1,6.008031,10.79269,6.493581
Agent 2,6.008031,5.829342,5.248172
Agent 3,6.008031,5.229662,12.22593
Agent 4,6.008031,10.9088,8.931562
Agent 5,6.008031,10.07951,2.124558
Agent 6,6.008031,10.42123,9.870487
Agent 7,6.008031,0.4813585,6.993707
Agent 0,6.50801,4.219652,9.834597
Agent 1,6.50801,11.3972,7.232985
Agent 2,6.50801,6.98336,5.650084
Agent 3,6.50801,5.445335,12.93124
Agent 4,6.50801,12.02366,9.77276
Agent 5,6.50801,11.09873,2.730977
Agent 6,6.50801,11.18858,10.97266
Agent 7,6.50801,1.213152,7.120008
Agent 0,7.000104,4.555199,10.52906
Agent 1,7.000104,11.94682,8.008764
Agent 2,7.000104,8.213863,6.078436
Agent 3,7.000104,5.604736,13.59287
Agent 4,7.000104,13.02099,10.75082
Agent 5,7.000104,12.09567,3.400552
Agent 6,7.000104,11.95927,11.93638
Agent 7,7.000104,1.994732,7.200264
Agent 0,7.502503,4.906904,11.44758
Agent 1,7.502503,12.46367,8.811281
Agent 2,7.502503,9.444687,6.474429
Agent 3,7.502503,5.71768,14.08929
Agent 4,7.502503,13.84567,11.79711
Agent 5,7.502503,13.0552,4.056379
Agent 6,7.502503,12.67955,12.72077
Agent 7,7.502503,2.71434,7.29339
Agent 0,8.006687,5.52684,12.16625
Agent 1,8.006687,12.97834,9.62487
Agent 2,8.006687,10.7276,6.848598
Agent 3,8.006687,5.790615,14.40667
Agent 4,8.006687,14.59515,12.86516
Agent 5,8.006687,13.94009,4.728117
Agent 6,8.006687,13.42075,13.32972
Agent 7,8.006687,3.4151,7.46101
Agent 0,8.510252,6.708719,12.74825
Agent 1,8.510252,13.56097,10.57354
Agent 2,8.510252,12.03015,7.292883
Agent 3,8.510252,5.836376,14.61205
Agent 4,8.510252,15.24337,13.84841
Agent 5,8.510252,14.75644,5.456505
Agent 6,8.510252,14.2321,13.74079
Agent 7,8.510252,4.159306,7.719718
Agent 0,9.013545,7.925041,13.2026
Agent 1,9.013545,14.1857,11.47127
Agent 2,9.013545,13.22352,7.792305
Agent 3,9.013545,5.866293,14.75678
Agent 4,9.013545,15.71643,14.81354
Agent 5,9.013545,15.59956,6.166425
Agent 6,9.013545,15.0617,14.01659
Agent 7,9.013545,4.908417,8.03379
Agent 0,9.507784,8.815563,13.49158
Agent 1,9.507784,14.77502,12.08791
Agent 2,9.507784,14.2255,8.387772
Agent 3,9.507784,5.887146,14.86814
Agent 4,9.507784,16.06475,15.83303
Agent 5,9.507784,16.57613,6.81457
Agent 6,9.507784,15.89692,14.28034
Agent 7,9.507784,5.616278,8.38373
Agent 0,10.00137,9.892487,13.78784
Agent 1,10.00137,15.33965,12.46778
Agent 2,10.00137,15.10159,9.098946
Agent 3,10.00137,5.91143,14.97721
Agent 4,10.00137,16.35081,16.68394
Agent 5,10.00137,17.53834,7.475197
Agent 6,10.00137,16.7987,14.54191
Agent 7,10.00137,6.315313,8.777493
Agent 0,10.50558,11.45621,14.22074
Agent 1,10.50558,15.91645,12.72196
Agent 2,10.50558,15.89183,9.826555
Agent 3,10.50558,6.022551,15.11069
Agent 4,10.50558,16.56352,17.25101
Agent 5,10.50558,18.36348,8.159431
Agent 6,10.50558,17.75818,14.77939
Agent 7,10.50558,7.038054,9.200491
Agent 0,11.0063,12.8877,14.616
Agent 1,11.0063,16.45116,13.14013
Agent 2,11.0063,16.55061,10.45802
Agent 3,11.0063,6.319696,15.25166
Agent 4,11.0063,16.81633,17.62319
Agent 5,11.0063,19.10251,8.819061
Agent 6,11.0063,18.70756,15.21087
Agent 7,11.0063,7.75736,9.623203
Agent 0,11.50806,14.48423,15.0451
Agent 1,11.50806,16.91168,13.99895
Agent 2,11.50806,17.19441,10.91481
Agent 3,11.50806,6.677153,15.38371
Agent 4,11.50806,17.45214,17.86968
Agent 5,11.50806,19.69858,9.486801
Agent 6,11.50806,19.63811,15.8453
Agent 7,11.50806,8.453699,10.04003
Agent 0,12.0046,16.47759,15.61074
Agent 1,12.0046,17.44162,14.93003
Agent 2,12.0046,17.94131,11.28137
Agent 3,12.0046,7.065519,15.89385
Agent 4,12.0046,18.61918,18.05036
Agent 5,12.0046,20.09418,10.22661
Agent 6,12.0046,20.54607,16.40813
Agent 7,12.0046,9.15266,10.45434
Agent 0,12.50958,18.09861,16.06545
Agent 1,12.50958,18.13706,15.56526
Agent 2,12.50958,18.60686,11.78256
Agent 3,12.50958,7.655342,17.10276
Agent 4,12.50958,19.96458,18.18726
Agent 5,12.50958,20.34344,11.0234
Agent 6,12.50958,21.30228,16.87827
Agent 7,12.50958,9.869438,10.85482
Agent 0,13.00741,19.14858,16.32286
Agent 1,13.00741,18.83366,15.96155
Agent 2,13.00741,19.09428,12.4288
Agent 3,13.00741,8.798721,18.81471
Agent 4,13.00741,21.32466,18.27689
Agent 5,13.00741,20.50769,11.81042
Agent 6,13.00741,21.85572,17.51191
Agent 7,13.00741,10.58354,11.23335
Agent 0,13.51105,19.81812,16.4458
Agent 1,13.51105,19.34242,16.22095
Agent 2,13.51105,19.54765,13.00449
Agent 3,13.51105,10.66082,20.62524
Agent 4,13.51105,22.63848,18.40659
Agent 5,13.51105,20.66026,12.5636
Agent 6,13.51105,22.44888,18.17484
Agent 7,13.51105,11.28359,11.59938
Agent 0,14.00673,20.27374,16.50181
Agent 1,14.00673,19.6673,16.40097
Agent 2,14.00673,20.0974,13.41019
Agent 3,14.00673,12.87894,22.33467
Agent 4,14.00673,23.47944,18.52175
Agent 5,14.00673,20.88358,13.30584
Agent 6,14.00673,23.33419,18.32486
Agent 7,14.00673,11.98521,11.96194
Agent 0,14.50053,20.88962,16.6801
Agent 1,14.50053,19.90166,16.63546
Agent 2,14.50053,20.89765,13.76557
Agent 3,14.50053,15.17777,24.06487
Agent 4,14.50053,24.28325,17.85467
Agent 5,14.50053,21.19964,14.08501
Agent 6,14.50053,24.46632,17.71786
Agent 7,14.50053,12.69668,12.31793
Agent 0,15.00858,22.12345,17.1896
Agent 1,15.00858,20.11877,17.03317
Agent 2,15.00858,22.23669,14.38446
